iteration,loss,s95_area
0,18203.5,76.8612
1,18232.9,76.6655
2,18213.8,76.4254
3,18160.6,76.4254
4,18153.7,76.4254
5,18146,76.4254
6,18148.5,76.4254
7,18138.2,76.4254
8,18129.9,76.4254
9,18154.9,76.4254
10,18156.5,76.3854
11,18140.6,76.3854
12,18139.3,76.3854
13,18130.2,76.3854
14,18120.1,76.3854
15,18141,76.3854
16,18135.1,76.3854
17,18114.2,76.3854
18,18124,76.3854
19,18120.9,76.3854
20,18114.8,76.3276
21,18124.3,76.3276
22,18106.8,76.3276
23,18122.5,76.3276
24,18137.8,76.3276
25,18135.5,76.3276
26,18146.8,76.3276
27,18148.9,76.3276
28,18152.2,76.3276
29,18156.7,76.3276
30,18134.8,76.2876
31,18122.2,76.2876
32,18122,76.2876
33,18127.1,76.2876
34,18111.8,76.2876
35,18123.6,76.2876
36,18135.5,76.2876
37,18148.4,76.2876
38,18144,76.2876
39,18125.6,76.2876
40,18107.7,76.2031
41,18125.6,76.2031
42,18119.1,76.2031
43,18113.1,76.2031
44,18114.1,76.2031
45,18113.5,76.2031
46,18129.1,76.2031
47,18127.1,76.2031
48,18117.5,76.2031
49,18111.5,76.2031
50,18132.1,76.2298
51,18126.7,76.2298
52,18138.4,76.2298
53,18120.7,76.2298
54,18122.5,76.2298
55,18100.9,76.2298
56,18121.4,76.2298
57,18133.6,76.2298
58,18151.1,76.2298
59,18140.7,76.2298
60,18121.6,76.2209
61,18144.9,76.2209
62,18150,76.2209
63,18157.2,76.2209
64,18162.5,76.2209
65,18158,76.2209
66,18156.4,76.2209
67,18140.5,76.2209
68,18134.9,76.2209
69,18136.2,76.2209
70,18138.4,76.2698
71,18151.8,76.2698
72,18148.8,76.2698
73,18158.8,76.2698
74,18144.2,76.2698
75,18157,76.2698
76,18137.1,76.2698
77,18144.2,76.2698
78,18137.4,76.2698
79,18140.7,76.2698
80,18136.1,76.2609
81,18138.8,76.2609
82,18132.5,76.2609
83,18131.5,76.2609
84,18147.1,76.2609
85,18136.6,76.2609
86,18131.2,76.2609
87,18136.1,76.2609
88,18151.8,76.2609
89,18144.4,76.2609
90,18127.7,76.2564
91,18123.2,76.2564
92,18135.5,76.2564
93,18131.5,76.2564
94,18135.2,76.2564
95,18138.6,76.2564
96,18135.9,76.2564
97,18140.1,76.2564
98,18136.5,76.2564
99,18148.9,76.2564
