iteration,loss,s95_area
0,22408.4,94.6924
1,22379.5,94.6391
2,22361.3,94.519
3,22315.7,94.519
4,22321.7,94.519
5,22334.3,94.519
6,22331.1,94.519
7,22337.7,94.519
8,22343.4,94.519
9,22311.8,94.519
10,22313.3,94.4079
11,22286.8,94.4079
12,22283.3,94.4079
13,22304.5,94.4079
14,22314.5,94.4079
15,22323,94.4079
16,22340.5,94.4079
17,22330,94.4079
18,22300.5,94.4079
19,22302.2,94.4079
20,22323,94.4479
21,22339.4,94.4479
22,22333.5,94.4479
23,22320.3,94.4479
24,22322.1,94.4479
25,22313.6,94.4479
26,22293.4,94.4479
27,22288.4,94.4479
28,22308.3,94.4479
29,22303,94.4479
30,22304.6,94.3812
31,22312,94.3812
32,22323.5,94.3812
33,22322.4,94.3812
34,22310.7,94.3812
35,22297.5,94.3812
36,22304.5,94.3812
37,22293,94.3812
38,22305.4,94.3812
39,22283.6,94.3812
40,22283.3,94.2433
41,22273.2,94.2433
42,22272.5,94.2433
43,22287.1,94.2433
44,22312.2,94.2433
45,22311.7,94.2433
46,22292.5,94.2433
47,22284.8,94.2433
48,22305.6,94.2433
49,22304.6,94.2433
50,22313.2,94.3234
51,22303,94.3234
52,22276.4,94.3234
53,22297.9,94.3234
54,22303,94.3234
55,22299.8,94.3234
56,22298.1,94.3234
57,22290.7,94.3234
58,22286,94.3234
59,22302.9,94.3234
60,22298.4,94.3234
61,22289.2,94.3234
62,22307.7,94.3234
63,22284.2,94.3234
64,22277.5,94.3234
65,22268.2,94.3234
66,22279.3,94.3234
67,22265.6,94.3234
68,22269.1,94.3234
69,22271.8,94.3234
70,22284,94.2522
71,22258.8,94.2522
72,22281.9,94.2522
73,22285.3,94.2522
74,22274.5,94.2522
75,22277.9,94.2522
76,22288.8,94.2522
77,22286.2,94.2522
78,22266.5,94.2522
79,22276.1,94.2522
80,22296.4,94.2834
81,22296.7,94.2834
82,22296.1,94.2834
83,22291.6,94.2834
84,22270.6,94.2834
85,22266.5,94.2834
86,22261.5,94.2834
87,22268,94.2834
88,22291.6,94.2834
89,22287.6,94.2834
90,22275.1,94.2878
91,22273.5,94.2878
92,22267,94.2878
93,22264.5,94.2878
94,22249.2,94.2878
95,22259.9,94.2878
96,22267.2,94.2878
97,22256,94.2878
98,22285.5,94.2878
99,22277.2,94.2878
