# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1942 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0339037 0.0343721
1 0.0211941 0.0216625
2 0.0150961 0.0155646
3 0.0134065 0.0138749
4 0.0160397 0.0165082
5 0.022311 0.0227794
6 0.0358012 0.0362697
7 0.0225164 0.0229848
8 0.0104965 0.0109649
9 0.00452717 0.00499562
10 0.00234308 0.00281153
11 0.00449497 0.00496342
12 0.0106426 0.0111111
13 0.0227361 0.0232046
14 0.0201126 0.020581
15 0.0079058 0.00837425
16 0.00166487 0.00213331
17 -0.000468447 0
18 0.00183211 0.00230056
19 0.00772986 0.0081983
20 0.0194884 0.0199568
21 0.0234957 0.0239641
22 0.0109031 0.0113715
23 0.00462362 0.00509207
24 0.00230668 0.00277513
25 0.00470791 0.00517636
26 0.0100477 0.0105161
27 0.02182 0.0222884
28 0.0360385 0.0365069
29 0.0222546 0.0227231
30 0.0160362 0.0165046
31 0.0133832 0.0138516
32 0.015394 0.0158624
33 0.02088 0.0213484
34 0.0336388 0.0341073
