# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.2031 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.036268 0.0368879
1 0.0230584 0.0236783
2 0.0168104 0.0174303
3 0.0145984 0.0152183
4 0.0163859 0.0170058
5 0.0223914 0.0230114
6 0.0355855 0.0362054
7 0.0229628 0.0235827
8 0.0112409 0.0118608
9 0.00540821 0.00602811
10 0.00292131 0.00354121
11 0.00518039 0.0058003
12 0.011158 0.0117779
13 0.0235029 0.0241228
14 0.019488 0.0201079
15 0.00725214 0.00787205
16 0.00151568 0.00213559
17 -0.000619905 0
18 0.00216724 0.00278715
19 0.00827722 0.00889712
20 0.0209621 0.021582
21 0.0214433 0.0220632
22 0.00959258 0.0102125
23 0.00373356 0.00435346
24 0.00211384 0.00273374
25 0.00483002 0.00544992
26 0.0110295 0.0116494
27 0.0233156 0.0239356
28 0.0327139 0.0333338
29 0.0196727 0.0202926
30 0.0141775 0.0147974
31 0.0125174 0.0131373
32 0.0153317 0.0159516
33 0.0218569 0.0224768
34 0.0357499 0.0363698
