# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.3855 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0357712 0.036348
1 0.0228499 0.0234267
2 0.0167987 0.0173755
3 0.0146083 0.0151851
4 0.0169233 0.0175002
5 0.023442 0.0240188
6 0.035943 0.0365198
7 0.0236259 0.0242028
8 0.0119565 0.0125334
9 0.00528995 0.0058668
10 0.00310209 0.00367894
11 0.00565226 0.0062291
12 0.0124932 0.0130701
13 0.0243399 0.0249168
14 0.0200674 0.0206443
15 0.00824731 0.00882416
16 0.0014774 0.00205425
17 -0.000576847 0
18 0.00166268 0.00223953
19 0.00859668 0.00917352
20 0.0209793 0.0215561
21 0.0219174 0.0224942
22 0.0102726 0.0108494
23 0.00352979 0.00410664
24 0.00120351 0.00178036
25 0.00347219 0.00404904
26 0.0103577 0.0109346
27 0.022406 0.0229829
28 0.0320251 0.032602
29 0.019181 0.0197579
30 0.0132356 0.0138125
31 0.0103695 0.0109463
32 0.0131399 0.0137167
33 0.0197913 0.0203681
34 0.0328565 0.0334333
