iteration,loss,s95_area
0,12539.2,51.0703
1,12390.5,50.7857
2,12299,50.679
3,12290,50.679
4,12304.6,50.679
5,12309.4,50.679
6,12311.6,50.679
7,12299.8,50.679
8,12316,50.679
9,12311,50.679
10,12298.4,50.7057
11,12291.6,50.7057
12,12264.1,50.7057
13,12275,50.7057
14,12276.3,50.7057
15,12270.7,50.7057
16,12269.2,50.7057
17,12254.8,50.7057
18,12261.4,50.7057
19,12273,50.7057
20,12269.3,50.5812
21,12276.3,50.5812
22,12282,50.5812
23,12289,50.5812
24,12281.9,50.5812
25,12281.1,50.5812
26,12275.9,50.5812
27,12282.4,50.5812
28,12287.2,50.5812
29,12291,50.5812
30,12293.7,50.599
31,12286.7,50.599
32,12281.9,50.599
33,12277.7,50.599
34,12278.3,50.599
35,12273.3,50.599
36,12271.2,50.599
37,12273.9,50.599
38,12266.4,50.599
39,12264.2,50.599
40,12250.7,50.5012
41,12248.9,50.5012
42,12246.2,50.5012
43,12251.4,50.5012
44,12245.3,50.5012
45,12253,50.5012
46,12249.9,50.5012
47,12247.3,50.5012
48,12258.8,50.5012
49,12255.7,50.5012
50,12245.5,50.51
51,12258.5,50.51
52,12257,50.51
53,12244.1,50.51
54,12243,50.51
55,12238.9,50.51
56,12222.6,50.51
57,12238.1,50.51
58,12247.9,50.51
59,12234.7,50.51
60,12243.4,50.4522
61,12244.9,50.4522
62,12236.6,50.4522
63,12233.3,50.4522
64,12235.1,50.4522
65,12222.4,50.4522
66,12220.3,50.4522
67,12226.7,50.4522
68,12224.4,50.4522
69,12240.1,50.4522
70,12226.6,50.4122
71,12223.5,50.4122
72,12213.5,50.4122
73,12234.8,50.4122
74,12227.1,50.4122
75,12218.9,50.4122
76,12220.5,50.4122
77,12209.2,50.4122
78,12203.3,50.4122
79,12208.3,50.4122
80,12206.8,50.4033
81,12205.4,50.4033
82,12216.4,50.4033
83,12216,50.4033
84,12226.9,50.4033
85,12209.6,50.4033
86,12221.4,50.4033
87,12218.6,50.4033
88,12215.7,50.4033
89,12215.5,50.4033
90,12205.6,50.3855
91,12203.4,50.3855
92,12217.5,50.3855
93,12205.9,50.3855
94,12209.1,50.3855
95,12208.6,50.3855
96,12211,50.3855
97,12207.9,50.3855
98,12207.6,50.3855
99,12212.7,50.3855
