# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.2433 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0356544 0.0366959
1 0.0226289 0.0236704
2 0.017421 0.0184624
3 0.0154258 0.0164673
4 0.0176762 0.0187176
5 0.0236607 0.0247021
6 0.0370106 0.038052
7 0.0216284 0.0226699
8 0.0099011 0.0109425
9 0.00499339 0.00603484
10 0.00274045 0.0037819
11 0.00545799 0.00649944
12 0.0106674 0.0117089
13 0.0233054 0.0243469
14 0.0179619 0.0190034
15 0.00610142 0.00714287
16 0.00114343 0.00218487
17 -0.00104144 0
18 0.00148027 0.00252172
19 0.00695422 0.00799566
20 0.0199047 0.0209461
21 0.02061 0.0216515
22 0.00851971 0.00956115
23 0.00341525 0.0044567
24 0.00156319 0.00260464
25 0.00395508 0.00499652
26 0.00942141 0.0104629
27 0.0217577 0.0227991
28 0.0331673 0.0342088
29 0.0201797 0.0212211
30 0.01495 0.0159915
31 0.0125873 0.0136288
32 0.0151557 0.0161971
33 0.0204898 0.0215313
34 0.0339146 0.034956
