iteration,loss,s95_area
0,18284.4,76.7011
1,18256.2,76.6211
2,18212.5,76.4076
3,18159.3,76.4076
4,18168.7,76.4076
5,18162.4,76.4076
6,18166.7,76.4076
7,18163.8,76.4076
8,18168.8,76.4076
9,18156.1,76.4076
10,18144.5,76.2876
11,18127.6,76.2876
12,18130.5,76.2876
13,18138.6,76.2876
14,18149.3,76.2876
15,18153.8,76.2876
16,18153,76.2876
17,18160.9,76.2876
18,18124.3,76.2876
19,18122.3,76.2876
20,18129.5,76.3054
21,18155.3,76.3054
22,18162.5,76.3054
23,18166.5,76.3054
24,18164.9,76.3054
25,18150.7,76.3054
26,18141.5,76.3054
27,18145.4,76.3054
28,18136.3,76.3054
29,18158.1,76.3054
30,18165,76.2209
31,18136.7,76.2209
32,18119.1,76.2209
33,18113.7,76.2209
34,18115,76.2209
35,18117.2,76.2209
36,18117.7,76.2209
37,18125,76.2209
38,18109,76.2209
39,18116.2,76.2209
40,18117.5,76.2031
41,18123.4,76.2031
42,18136.5,76.2031
43,18111.3,76.2031
44,18121.3,76.2031
45,18116.8,76.2031
46,18118.9,76.2031
47,18145.9,76.2031
48,18136.9,76.2031
49,18147.7,76.2031
50,18149.5,76.2298
51,18143.2,76.2298
52,18132.7,76.2298
53,18146.4,76.2298
54,18158.9,76.2298
55,18158,76.2298
56,18158.9,76.2298
57,18151,76.2298
58,18136.9,76.2298
59,18129.2,76.2298
60,18122.1,76.2298
61,18124.4,76.2298
62,18124.3,76.2298
63,18144,76.2298
64,18144.9,76.2298
65,18136.5,76.2298
66,18139,76.2298
67,18156.5,76.2298
68,18150,76.2298
69,18140.1,76.2298
70,18145.7,76.2298
71,18136.6,76.2298
72,18141.3,76.2298
73,18153.2,76.2298
74,18137.7,76.2298
75,18144.8,76.2298
76,18139.9,76.2298
77,18135.8,76.2298
78,18131,76.2298
79,18121.1,76.2298
80,18136,76.1942
81,18127.8,76.1942
82,18131.1,76.1942
83,18135.9,76.1942
84,18128.2,76.1942
85,18123.1,76.1942
86,18116.8,76.1942
87,18137.9,76.1942
88,18137.2,76.1942
89,18131.1,76.1942
90,18127.3,76.2342
91,18140.2,76.2342
92,18135.2,76.2342
93,18126.3,76.2342
94,18146.9,76.2342
95,18147.3,76.2342
96,18143.4,76.2342
97,18144.2,76.2342
98,18121,76.2342
99,18126.1,76.2342
