# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.212 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0373225 0.0377435
1 0.0237758 0.0241969
2 0.0175631 0.0179842
3 0.0148623 0.0152833
4 0.016612 0.017033
5 0.0225413 0.0229623
6 0.0357144 0.0361354
7 0.0232836 0.0237047
8 0.0116071 0.0120281
9 0.00566199 0.00608304
10 0.00315139 0.00357244
11 0.00535796 0.00577902
12 0.0111869 0.0116079
13 0.0235556 0.0239766
14 0.0195544 0.0199755
15 0.00750492 0.00792597
16 0.00165452 0.00207557
17 -0.000421052 0
18 0.00219163 0.00261268
19 0.00832766 0.00874871
20 0.0208907 0.0213117
21 0.0210743 0.0214953
22 0.00926492 0.00968597
23 0.00366917 0.00409023
24 0.00162601 0.00204706
25 0.00471953 0.00514058
26 0.0108748 0.0112959
27 0.0233253 0.0237463
28 0.0317217 0.0321427
29 0.0191913 0.0196123
30 0.0138931 0.0143141
31 0.0119114 0.0123324
32 0.0148173 0.0152383
33 0.0215449 0.0219659
34 0.0353272 0.0357483
