iteration,loss,s95_area
0,18203.5,76.8612
1,18232.9,76.6655
2,18217.7,76.4477
3,18156.5,76.4477
4,18160.7,76.4477
5,18154.3,76.4477
6,18141.7,76.4477
7,18145.7,76.4477
8,18147.8,76.4477
9,18160.7,76.4477
10,18153.9,76.4121
11,18158,76.4121
12,18156.4,76.4121
13,18123.3,76.4121
14,18122.7,76.4121
15,18126.4,76.4121
16,18126.1,76.4121
17,18134.6,76.4121
18,18134.8,76.4121
19,18118.5,76.4121
20,18128.1,76.3231
21,18135,76.3231
22,18145.4,76.3231
23,18144.9,76.3231
24,18149.7,76.3231
25,18157.3,76.3231
26,18156.4,76.3231
27,18187.5,76.3231
28,18179.7,76.3231
29,18145.5,76.3231
30,18134.1,76.3098
31,18140.4,76.3098
32,18159,76.3098
33,18149.2,76.3098
34,18146.8,76.3098
35,18142,76.3098
36,18144.4,76.3098
37,18144.5,76.3098
38,18139.3,76.3098
39,18151.4,76.3098
40,18155.4,76.2831
41,18157.5,76.2831
42,18157.1,76.2831
43,18138.3,76.2831
44,18131.8,76.2831
45,18137.6,76.2831
46,18142.9,76.2831
47,18157.6,76.2831
48,18144.1,76.2831
49,18148.1,76.2831
50,18133.4,76.2209
51,18135.6,76.2209
52,18130,76.2209
53,18122.6,76.2209
54,18103,76.2209
55,18105.5,76.2209
56,18124.4,76.2209
57,18117.3,76.2209
58,18114.9,76.2209
59,18119.3,76.2209
60,18104.6,76.212
61,18108.5,76.212
62,18123.8,76.212
63,18123.4,76.212
64,18120.2,76.212
65,18123.3,76.212
66,18136.6,76.212
67,18134.1,76.212
68,18134.4,76.212
69,18125.9,76.212
70,18117.1,76.2298
71,18112.9,76.2298
72,18128.5,76.2298
73,18128.1,76.2298
74,18127.5,76.2298
75,18134.1,76.2298
76,18137.8,76.2298
77,18135.5,76.2298
78,18129.5,76.2298
79,18113.4,76.2298
80,18118.6,76.2253
81,18126.7,76.2253
82,18137.5,76.2253
83,18129.5,76.2253
84,18129,76.2253
85,18114,76.2253
86,18113.3,76.2253
87,18139.1,76.2253
88,18141.4,76.2253
89,18134.6,76.2253
90,18119.5,76.2431
91,18117.5,76.2431
92,18129.8,76.2431
93,18124.1,76.2431
94,18120.7,76.2431
95,18104.7,76.2431
96,18107.8,76.2431
97,18099.5,76.2431
98,18106.7,76.2431
99,18118.2,76.2431
