# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.3722 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0356848 0.0362963
1 0.0228198 0.0234312
2 0.0167283 0.0173398
3 0.0146297 0.0152412
4 0.0169498 0.0175612
5 0.0234657 0.0240771
6 0.0362653 0.0368768
7 0.0237127 0.0243242
8 0.0119033 0.0125148
9 0.00532407 0.00593553
10 0.00303263 0.00364408
11 0.00576279 0.00637425
12 0.0125165 0.0131279
13 0.0244322 0.0250436
14 0.0201033 0.0207148
15 0.00839081 0.00900227
16 0.00144306 0.00205451
17 -0.000611455 0
18 0.00160336 0.00221481
19 0.0086199 0.00923136
20 0.0210286 0.0216401
21 0.0220178 0.0226293
22 0.0101341 0.0107455
23 0.00362337 0.00423483
24 0.00123649 0.00184794
25 0.00355261 0.00416407
26 0.0103403 0.0109517
27 0.0224581 0.0230696
28 0.0318471 0.0324586
29 0.0191621 0.0197736
30 0.0130916 0.0137031
31 0.0104298 0.0110412
32 0.013146 0.0137574
33 0.0198564 0.0204678
34 0.0331451 0.0337566
