iteration,loss,s95_area
0,12539.2,51.0703
1,12390.5,50.7902
2,12299.3,50.6835
3,12285.5,50.6835
4,12293.3,50.6835
5,12315.5,50.6835
6,12311.2,50.6835
7,12306.4,50.6835
8,12283.6,50.6835
9,12315.2,50.6835
10,12297.9,50.7235
11,12303.6,50.7235
12,12283.1,50.7235
13,12274.7,50.7235
14,12280.2,50.7235
15,12283.1,50.7235
16,12299.2,50.7235
17,12266,50.7235
18,12279.5,50.7235
19,12282,50.7235
20,12288.2,50.6123
21,12285.5,50.6123
22,12281.7,50.6123
23,12274.5,50.6123
24,12287.4,50.6123
25,12277.6,50.6123
26,12273.7,50.6123
27,12278,50.6123
28,12282.7,50.6123
29,12278.9,50.6123
30,12282,50.599
31,12294.2,50.599
32,12290.3,50.599
33,12284.5,50.599
34,12283.8,50.599
35,12272.8,50.599
36,12270.2,50.599
37,12277,50.599
38,12278.3,50.599
39,12276.7,50.599
40,12258.9,50.5234
41,12258.8,50.5234
42,12265.9,50.5234
43,12261.3,50.5234
44,12259.8,50.5234
45,12244.1,50.5234
46,12241.6,50.5234
47,12242.9,50.5234
48,12242.8,50.5234
49,12239.4,50.5234
50,12254.1,50.5145
51,12243.8,50.5145
52,12245.9,50.5145
53,12246.9,50.5145
54,12237.8,50.5145
55,12233.9,50.5145
56,12226.6,50.5145
57,12232.2,50.5145
58,12231.9,50.5145
59,12227.5,50.5145
60,12215.5,50.4433
61,12222.9,50.4433
62,12222.6,50.4433
63,12214.3,50.4433
64,12210.5,50.4433
65,12210.4,50.4433
66,12201.5,50.4433
67,12208.7,50.4433
68,12226.3,50.4433
69,12221.6,50.4433
70,12221.2,50.4522
71,12237.3,50.4522
72,12232.1,50.4522
73,12227.3,50.4522
74,12217.1,50.4522
75,12210.1,50.4522
76,12216.2,50.4522
77,12207.4,50.4522
78,12221.6,50.4522
79,12232.4,50.4522
80,12230.4,50.4433
81,12220.7,50.4433
82,12201.3,50.4433
83,12205.7,50.4433
84,12189.8,50.4433
85,12216.1,50.4433
86,12211.4,50.4433
87,12213.4,50.4433
88,12213.5,50.4433
89,12213.9,50.4433
90,12200.6,50.3722
91,12209.4,50.3722
92,12216.7,50.3722
93,12224.4,50.3722
94,12225.8,50.3722
95,12233.3,50.3722
96,12225,50.3722
97,12229.1,50.3722
98,12239,50.3722
99,12253,50.3722
