# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.2923 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0360211 0.0372181
1 0.0226807 0.0238777
2 0.0176066 0.0188035
3 0.0156734 0.0168704
4 0.017918 0.0191149
5 0.0232274 0.0244244
6 0.03651 0.037707
7 0.0217611 0.022958
8 0.0101114 0.0113083
9 0.00504567 0.00624264
10 0.00258582 0.0037828
11 0.00562865 0.00682562
12 0.0104502 0.0116472
13 0.0225541 0.0237511
14 0.0182935 0.0194905
15 0.00614223 0.0073392
16 0.00124699 0.00244396
17 -0.00119697 0
18 0.00132653 0.0025235
19 0.00690591 0.00810288
20 0.019192 0.0203889
21 0.0209385 0.0221355
22 0.008937 0.010134
23 0.00361841 0.00481538
24 0.00149044 0.00268741
25 0.00380487 0.00500184
26 0.00914698 0.010344
27 0.0216673 0.0228642
28 0.0333061 0.034503
29 0.0205092 0.0217062
30 0.015235 0.0164319
31 0.0128628 0.0140598
32 0.0154478 0.0166447
33 0.0204637 0.0216607
34 0.033786 0.0349829
