iteration,loss,s95_area
0,22408.4,94.6924
1,22379.5,94.6302
2,22359.9,94.5546
3,22339.9,94.5546
4,22337.3,94.5546
5,22336.8,94.5546
6,22345.9,94.5546
7,22374,94.5546
8,22320.2,94.5546
9,22311.7,94.5546
10,22320,94.4034
11,22312.8,94.4034
12,22326.5,94.4034
13,22310.9,94.4034
14,22310.2,94.4034
15,22325.6,94.4034
16,22323.1,94.4034
17,22326.1,94.4034
18,22355.4,94.4034
19,22370.4,94.4034
20,22342.5,94.4345
21,22338.8,94.4345
22,22337.1,94.4345
23,22316.1,94.4345
24,22312.7,94.4345
25,22285.7,94.4345
26,22283.4,94.4345
27,22294,94.4345
28,22307.3,94.4345
29,22295.8,94.4345
30,22285.7,94.2923
31,22283.6,94.2923
32,22274.4,94.2923
33,22273.5,94.2923
34,22305.9,94.2923
35,22289.9,94.2923
36,22286.1,94.2923
37,22289.5,94.2923
38,22303.3,94.2923
39,22322.5,94.2923
40,22306.7,94.3501
41,22309,94.3501
42,22307.8,94.3501
43,22302.4,94.3501
44,22309.1,94.3501
45,22325.8,94.3501
46,22332,94.3501
47,22322.5,94.3501
48,22310,94.3501
49,22290.3,94.3501
50,22285,94.3234
51,22303.7,94.3234
52,22298.1,94.3234
53,22292,94.3234
54,22313.3,94.3234
55,22310.3,94.3234
56,22291.5,94.3234
57,22297.4,94.3234
58,22303.5,94.3234
59,22316.2,94.3234
60,22307.5,94.2967
61,22323,94.2967
62,22319.7,94.2967
63,22297.3,94.2967
64,22293.2,94.2967
65,22309,94.2967
66,22305.9,94.2967
67,22308.8,94.2967
68,22303.5,94.2967
69,22302.9,94.2967
70,22289.2,94.3189
71,22300.4,94.3189
72,22269,94.3189
73,22291.9,94.3189
74,22304.1,94.3189
75,22301.3,94.3189
76,22305,94.3189
77,22310.4,94.3189
78,22297.3,94.3189
79,22289.1,94.3189
80,22303.8,94.3189
81,22299.1,94.3189
82,22305,94.3189
83,22301.9,94.3189
84,22297.9,94.3189
85,22286.7,94.3189
86,22284.2,94.3189
87,22315,94.3189
88,22289.5,94.3189
89,22291.4,94.3189
90,22302.2,94.3189
91,22297.4,94.3189
92,22312.7,94.3189
93,22308,94.3189
94,22308.1,94.3189
95,22287.2,94.3189
96,22304.4,94.3189
97,22304.8,94.3189
98,22300.7,94.3189
99,22283.2,94.3189
