# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1186 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0336661 0.0342443
1 0.0209706 0.0215488
2 0.0151239 0.0157021
3 0.0133752 0.0139534
4 0.0161489 0.0167271
5 0.0223925 0.0229707
6 0.0356649 0.0362431
7 0.02234 0.0229182
8 0.0103313 0.0109095
9 0.00453011 0.00510829
10 0.00228565 0.00286383
11 0.00456428 0.00514247
12 0.0108994 0.0114775
13 0.0232051 0.0237833
14 0.0199544 0.0205325
15 0.00772656 0.00830474
16 0.00165269 0.00223087
17 -0.000578182 0
18 0.00186594 0.00244412
19 0.00789266 0.00847084
20 0.0203025 0.0208806
21 0.0232553 0.0238335
22 0.0106142 0.0111924
23 0.0047613 0.00533948
24 0.00225114 0.00282933
25 0.00459135 0.00516953
26 0.0100991 0.0106773
27 0.0223751 0.0229533
28 0.035897 0.0364752
29 0.0223429 0.0229211
30 0.0160227 0.0166009
31 0.0133086 0.0138868
32 0.0153924 0.0159706
33 0.0209483 0.0215265
34 0.0336828 0.034261
