iteration,loss,s95_area
0,18284.4,76.7011
1,18256.2,76.6122
2,18212.5,76.4121
3,18166.1,76.4121
4,18162.1,76.4121
5,18165.1,76.4121
6,18174.9,76.4121
7,18198.2,76.4121
8,18164.6,76.4121
9,18137,76.4121
10,18148.1,76.3543
11,18160.9,76.3543
12,18151.2,76.3543
13,18135.1,76.3543
14,18142.6,76.3543
15,18136.4,76.3543
16,18156.5,76.3543
17,18139.5,76.3543
18,18149.1,76.3543
19,18147.1,76.3543
20,18150.3,76.2387
21,18136,76.2387
22,18115.7,76.2387
23,18106.8,76.2387
24,18108.6,76.2387
25,18096.6,76.2387
26,18117.3,76.2387
27,18121.8,76.2387
28,18118.4,76.2387
29,18095.5,76.2387
30,18135,76.212
31,18116.5,76.212
32,18109.6,76.212
33,18115.5,76.212
34,18110.7,76.212
35,18111.2,76.212
36,18114.1,76.212
37,18122.6,76.212
38,18107.9,76.212
39,18110,76.212
40,18102.9,76.1186
41,18111.9,76.1186
42,18115.4,76.1186
43,18123.8,76.1186
44,18120.6,76.1186
45,18126.3,76.1186
46,18114.6,76.1186
47,18118.7,76.1186
48,18120.7,76.1186
49,18127.7,76.1186
50,18133.3,76.1631
51,18115.1,76.1631
52,18112.2,76.1631
53,18115,76.1631
54,18110.1,76.1631
55,18116.8,76.1631
56,18107.4,76.1631
57,18106.1,76.1631
58,18109.3,76.1631
59,18103.7,76.1631
60,18117.6,76.2298
61,18116.8,76.2298
62,18128.7,76.2298
63,18132.3,76.2298
64,18115.4,76.2298
65,18132.4,76.2298
66,18122,76.2298
67,18127.5,76.2298
68,18125.9,76.2298
69,18122.7,76.2298
70,18124.6,76.1453
71,18117.9,76.1453
72,18110.8,76.1453
73,18127.3,76.1453
74,18138.4,76.1453
75,18126.6,76.1453
76,18119.1,76.1453
77,18123,76.1453
78,18142.2,76.1453
79,18134.7,76.1453
80,18129.1,76.1853
81,18130.9,76.1853
82,18130.5,76.1853
83,18127.4,76.1853
84,18134.3,76.1853
85,18138,76.1853
86,18133.5,76.1853
87,18144.4,76.1853
88,18126.3,76.1853
89,18124.3,76.1853
90,18121.7,76.1631
91,18120.1,76.1631
92,18146,76.1631
93,18144.9,76.1631
94,18153.1,76.1631
95,18133.3,76.1631
96,18128.8,76.1631
97,18109.7,76.1631
98,18119.8,76.1631
99,18133.8,76.1631
