# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.212 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0363909 0.036978
1 0.02331 0.0238971
2 0.017197 0.0177841
3 0.0146999 0.015287
4 0.0164974 0.0170844
5 0.0224685 0.0230555
6 0.0358647 0.0364517
7 0.0229931 0.0235802
8 0.0113295 0.0119166
9 0.00532841 0.00591548
10 0.0029305 0.00351757
11 0.00521743 0.0058045
12 0.0112958 0.0118829
13 0.0236399 0.0242269
14 0.0196898 0.0202769
15 0.00733751 0.00792458
16 0.00149734 0.00208441
17 -0.000587068 0
18 0.00216632 0.00275339
19 0.0083947 0.00898177
20 0.0210052 0.0215922
21 0.0212315 0.0218186
22 0.00935773 0.00994479
23 0.00367339 0.00426046
24 0.00194564 0.00253271
25 0.00477744 0.00536451
26 0.0110054 0.0115925
27 0.023289 0.0238761
28 0.0319333 0.0325204
29 0.0194481 0.0200352
30 0.0141036 0.0146906
31 0.012367 0.012954
32 0.01517 0.0157571
33 0.0217246 0.0223116
34 0.0354396 0.0360267
