iteration,loss,s95_area
0,18203.5,76.8123
1,18223.1,76.6433
2,18183.5,76.372
3,18121.5,76.372
4,18147.9,76.372
5,18169,76.372
6,18140.8,76.372
7,18139.8,76.372
8,18132.7,76.372
9,18132.7,76.372
10,18116.7,76.4566
11,18129.9,76.4566
12,18137.6,76.4566
13,18141.2,76.4566
14,18143,76.4566
15,18131.1,76.4566
16,18120.1,76.4566
17,18111.4,76.4566
18,18105.6,76.4566
19,18102.2,76.4566
20,18092.1,76.3231
21,18107.6,76.3231
22,18110.1,76.3231
23,18116.2,76.3231
24,18120.5,76.3231
25,18109.3,76.3231
26,18117.1,76.3231
27,18126.3,76.3231
28,18124.6,76.3231
29,18118.8,76.3231
30,18136.5,76.3587
31,18135.4,76.3587
32,18118.4,76.3587
33,18113.7,76.3587
34,18111.2,76.3587
35,18121.3,76.3587
36,18116.3,76.3587
37,18118.5,76.3587
38,18128.8,76.3587
39,18122.2,76.3587
40,18133.2,76.3009
41,18138.1,76.3009
42,18138.1,76.3009
43,18135.2,76.3009
44,18132.4,76.3009
45,18133.2,76.3009
46,18129.2,76.3009
47,18120.3,76.3009
48,18120.6,76.3009
49,18123.8,76.3009
50,18123.4,76.3231
51,18124.1,76.3231
52,18120.3,76.3231
53,18129.3,76.3231
54,18124.6,76.3231
55,18139.7,76.3231
56,18150.9,76.3231
57,18164.6,76.3231
58,18160.7,76.3231
59,18128.7,76.3231
60,18126.3,76.2742
61,18146.4,76.2742
62,18132,76.2742
63,18123.8,76.2742
64,18134,76.2742
65,18130.8,76.2742
66,18122.5,76.2742
67,18121.9,76.2742
68,18126.8,76.2742
69,18115.8,76.2742
70,18121.4,76.2609
71,18115.1,76.2609
72,18114.1,76.2609
73,18140.6,76.2609
74,18113.6,76.2609
75,18122.2,76.2609
76,18126.6,76.2609
77,18121.5,76.2609
78,18127.4,76.2609
79,18111.1,76.2609
80,18107.3,76.2387
81,18111.3,76.2387
82,18117.4,76.2387
83,18124.9,76.2387
84,18127.2,76.2387
85,18124.3,76.2387
86,18104.2,76.2387
87,18094.1,76.2387
88,18111.8,76.2387
89,18111.1,76.2387
90,18133.8,76.2209
91,18114.2,76.2209
92,18095.5,76.2209
93,18111.8,76.2209
94,18101.5,76.2209
95,18086,76.2209
96,18097.9,76.2209
97,18121,76.2209
98,18124.5,76.2209
99,18110.9,76.2209
100,18131.9,76.212
101,18123.4,76.212
102,18109.9,76.212
103,18117,76.212
104,18130.4,76.212
105,18132.4,76.212
106,18140,76.212
107,18123.2,76.212
108,18124.6,76.212
109,18128.3,76.212
110,18123.9,76.2209
111,18127.1,76.2209
112,18122.4,76.2209
113,18129.4,76.2209
114,18121.7,76.2209
115,18130.8,76.2209
116,18126.6,76.2209
117,18125.7,76.2209
118,18130.6,76.2209
119,18122.3,76.2209
120,18122.5,76.2653
121,18130.7,76.2653
122,18126.1,76.2653
123,18128.2,76.2653
124,18123,76.2653
125,18136.9,76.2653
126,18138.5,76.2653
127,18121.5,76.2653
128,18128,76.2653
129,18122.4,76.2653
130,18130.2,76.2564
131,18140.8,76.2564
132,18136.1,76.2564
133,18140.3,76.2564
134,18145.3,76.2564
135,18142.5,76.2564
136,18145,76.2564
137,18138.8,76.2564
138,18159.7,76.2564
139,18151,76.2564
140,18132.1,76.2698
141,18139.4,76.2698
142,18152.1,76.2698
143,18147.1,76.2698
144,18140.6,76.2698
145,18141.4,76.2698
146,18142.9,76.2698
147,18137,76.2698
148,18127.1,76.2698
149,18120.6,76.2698
