# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.3411 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0356452 0.0362876
1 0.0228419 0.0234843
2 0.0167655 0.0174078
3 0.0146419 0.0152842
4 0.0168285 0.0174709
5 0.0236859 0.0243283
6 0.0365932 0.0372355
7 0.0234498 0.0240922
8 0.0119154 0.0125578
9 0.00514816 0.00579051
10 0.00299464 0.00363699
11 0.00566946 0.00631181
12 0.0125414 0.0131838
13 0.0245922 0.0252345
14 0.0198591 0.0205015
15 0.00813593 0.00877828
16 0.00136353 0.00200589
17 -0.000642352 0
18 0.00161437 0.00225672
19 0.00860558 0.00924793
20 0.0210312 0.0216735
21 0.0216412 0.0222836
22 0.0100047 0.010647
23 0.00351175 0.00415411
24 0.00105473 0.00169709
25 0.00343884 0.00408119
26 0.0103768 0.0110192
27 0.0224341 0.0230764
28 0.0316964 0.0323387
29 0.0188816 0.019524
30 0.0128082 0.0134505
31 0.0101235 0.0107658
32 0.0129894 0.0136318
33 0.0195657 0.0202081
34 0.0328878 0.0335302
