iteration,loss,s95_area
0,12539.2,51.1548
1,12408.8,50.8836
2,12338.1,50.7457
3,12321.9,50.7457
4,12327.7,50.7457
5,12310.3,50.7457
6,12281.2,50.7457
7,12280.2,50.7457
8,12280.2,50.7457
9,12288.5,50.7457
10,12296.4,50.6257
11,12285.3,50.6257
12,12268,50.6257
13,12267.2,50.6257
14,12283.4,50.6257
15,12271.4,50.6257
16,12263.6,50.6257
17,12248.3,50.6257
18,12249.1,50.6257
19,12258.5,50.6257
20,12263.6,50.5812
21,12256.9,50.5812
22,12271.7,50.5812
23,12282.1,50.5812
24,12288.9,50.5812
25,12285.8,50.5812
26,12292,50.5812
27,12297.3,50.5812
28,12288,50.5812
29,12278.9,50.5812
30,12274.1,50.559
31,12272.7,50.559
32,12260.6,50.559
33,12266.3,50.559
34,12268.9,50.559
35,12271.1,50.559
36,12272.6,50.559
37,12273.6,50.559
38,12283,50.559
39,12273.5,50.559
40,12278.1,50.5545
41,12274.8,50.5545
42,12274.5,50.5545
43,12281.6,50.5545
44,12275.7,50.5545
45,12267.8,50.5545
46,12267.3,50.5545
47,12260.4,50.5545
48,12270.4,50.5545
49,12275.9,50.5545
50,12264.3,50.5145
51,12248.8,50.5145
52,12253.6,50.5145
53,12248,50.5145
54,12261.7,50.5145
55,12251.5,50.5145
56,12263.8,50.5145
57,12252.2,50.5145
58,12255.8,50.5145
59,12253.9,50.5145
60,12241.4,50.5278
61,12255.1,50.5278
62,12256.4,50.5278
63,12249.9,50.5278
64,12245.6,50.5278
65,12238.2,50.5278
66,12236.8,50.5278
67,12226.6,50.5278
68,12234.8,50.5278
69,12234,50.5278
70,12229.9,50.4611
71,12241.3,50.4611
72,12240.8,50.4611
73,12238.2,50.4611
74,12227.8,50.4611
75,12227.6,50.4611
76,12221.8,50.4611
77,12228.7,50.4611
78,12236.5,50.4611
79,12228.9,50.4611
80,12225.3,50.4567
81,12225.1,50.4567
82,12230.8,50.4567
83,12203.1,50.4567
84,12205.2,50.4567
85,12217.3,50.4567
86,12207,50.4567
87,12213.8,50.4567
88,12217.2,50.4567
89,12216.4,50.4567
90,12210.2,50.4211
91,12217.1,50.4211
92,12227.1,50.4211
93,12236.3,50.4211
94,12224.6,50.4211
95,12226.8,50.4211
96,12226.1,50.4211
97,12223.6,50.4211
98,12226,50.4211
99,12224.5,50.4211
100,12209.8,50.4433
101,12228.9,50.4433
102,12232,50.4433
103,12224,50.4433
104,12227.6,50.4433
105,12221.4,50.4433
106,12212.6,50.4433
107,12216,50.4433
108,12215.6,50.4433
109,12222.7,50.4433
110,12215.1,50.3989
111,12210.3,50.3989
112,12212.8,50.3989
113,12210.9,50.3989
114,12213.4,50.3989
115,12212.2,50.3989
116,12193.6,50.3989
117,12217.5,50.3989
118,12223.2,50.3989
119,12218.2,50.3989
120,12211.3,50.35
121,12225.8,50.35
122,12233.1,50.35
123,12223,50.35
124,12219.1,50.35
125,12219.4,50.35
126,12232,50.35
127,12224,50.35
128,12231.5,50.35
129,12225,50.35
130,12226.8,50.3411
131,12225.1,50.3411
132,12217,50.3411
133,12232.8,50.3411
134,12239.1,50.3411
135,12248.7,50.3411
136,12235.1,50.3411
137,12236.2,50.3411
138,12236.6,50.3411
139,12238,50.3411
140,12243.4,50.35
141,12232.4,50.35
142,12247.9,50.35
143,12242.6,50.35
144,12237.4,50.35
145,12242.9,50.35
146,12237.4,50.35
147,12256,50.35
148,12247.4,50.35
149,12233.1,50.35
