# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.2789 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0367398 0.0377683
1 0.0234685 0.024497
2 0.0182299 0.0192583
3 0.0163397 0.0173681
4 0.0187108 0.0197393
5 0.023943 0.0249714
6 0.0367803 0.0378088
7 0.0224574 0.0234858
8 0.0102208 0.0112493
9 0.0052902 0.00631865
10 0.00304093 0.00406938
11 0.00570043 0.00672888
12 0.0105124 0.0115408
13 0.0225859 0.0236144
14 0.0188611 0.0198895
15 0.00610899 0.00713744
16 0.00121365 0.0022421
17 -0.00102845 0
18 0.00153581 0.00256426
19 0.00695559 0.00798404
20 0.0190379 0.0200664
21 0.0204043 0.0214328
22 0.00845079 0.00947924
23 0.00325817 0.00428662
24 0.00133891 0.00236736
25 0.00365508 0.00468353
26 0.00932156 0.01035
27 0.0212427 0.0222711
28 0.0327252 0.0337536
29 0.0198324 0.0208608
30 0.0144436 0.015472
31 0.0122779 0.0133064
32 0.0145818 0.0156103
33 0.019629 0.0206575
34 0.0333005 0.0343289
