iteration,loss,s95_area
0,22408.4,94.6702
1,22363.9,94.6791
2,22374.6,94.5991
3,22369.5,94.5991
4,22380.3,94.5991
5,22366.6,94.5991
6,22346.6,94.5991
7,22363,94.5991
8,22325,94.5991
9,22301.2,94.5991
10,22308.4,94.4568
11,22312.5,94.4568
12,22292.8,94.4568
13,22292.4,94.4568
14,22291.9,94.4568
15,22288.7,94.4568
16,22288.2,94.4568
17,22304.4,94.4568
18,22305.9,94.4568
19,22327.6,94.4568
20,22364.4,94.5013
21,22354.4,94.5013
22,22344.6,94.5013
23,22355.1,94.5013
24,22354.3,94.5013
25,22360.1,94.5013
26,22347.7,94.5013
27,22368.5,94.5013
28,22358.2,94.5013
29,22339.8,94.5013
30,22346.4,94.3856
31,22312.6,94.3856
32,22329.5,94.3856
33,22306.6,94.3856
34,22317.8,94.3856
35,22319.8,94.3856
36,22313.6,94.3856
37,22320,94.3856
38,22301.7,94.3856
39,22307.4,94.3856
40,22311.6,94.3367
41,22309,94.3367
42,22306.4,94.3367
43,22302.1,94.3367
44,22289.4,94.3367
45,22309.3,94.3367
46,22308.3,94.3367
47,22307.1,94.3367
48,22307.7,94.3367
49,22307.5,94.3367
50,22323.2,94.3812
51,22302.6,94.3812
52,22297.8,94.3812
53,22289.8,94.3812
54,22303.2,94.3812
55,22334.9,94.3812
56,22322.5,94.3812
57,22317.6,94.3812
58,22316.9,94.3812
59,22307.8,94.3812
60,22316.1,94.3678
61,22315.9,94.3678
62,22305.7,94.3678
63,22310.8,94.3678
64,22319.6,94.3678
65,22298.7,94.3678
66,22292.6,94.3678
67,22296.6,94.3678
68,22294.6,94.3678
69,22307.3,94.3678
70,22300,94.3634
71,22274.4,94.3634
72,22273.4,94.3634
73,22271.9,94.3634
74,22304.8,94.3634
75,22301.5,94.3634
76,22292.7,94.3634
77,22285.4,94.3634
78,22307.8,94.3634
79,22300.9,94.3634
80,22297,94.4034
81,22301.3,94.4034
82,22301.6,94.4034
83,22303,94.4034
84,22301,94.4034
85,22317.9,94.4034
86,22303.6,94.4034
87,22309.2,94.4034
88,22328.8,94.4034
89,22328.4,94.4034
90,22313.8,94.399
91,22308.6,94.399
92,22298.5,94.399
93,22316.3,94.399
94,22296.9,94.399
95,22285.8,94.399
96,22312.1,94.399
97,22311.6,94.399
98,22300,94.399
99,22284.8,94.399
100,22292.6,94.35
101,22297.5,94.35
102,22299.6,94.35
103,22293.3,94.35
104,22279.7,94.35
105,22300.9,94.35
106,22314.2,94.35
107,22300.9,94.35
108,22305.6,94.35
109,22307.7,94.35
110,22312.6,94.3634
111,22310.7,94.3634
112,22295.3,94.3634
113,22294.5,94.3634
114,22282.3,94.3634
115,22286.1,94.3634
116,22289.1,94.3634
117,22289.3,94.3634
118,22301.8,94.3634
119,22310.4,94.3634
120,22297.6,94.3323
121,22300.7,94.3323
122,22285,94.3323
123,22276.3,94.3323
124,22292.9,94.3323
125,22305.1,94.3323
126,22301.4,94.3323
127,22272.3,94.3323
128,22271.4,94.3323
129,22281.3,94.3323
130,22304,94.31
131,22306.1,94.31
132,22307.2,94.31
133,22306.7,94.31
134,22295,94.31
135,22313.7,94.31
136,22302.3,94.31
137,22288.3,94.31
138,22288.6,94.31
139,22263.9,94.31
140,22282.6,94.2789
141,22281.7,94.2789
142,22288.9,94.2789
143,22295.7,94.2789
144,22277.6,94.2789
145,22280.7,94.2789
146,22280.9,94.2789
147,22280.2,94.2789
148,22293.5,94.2789
149,22313.3,94.2789
