# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1942 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0326249 0.0333281
1 0.0201575 0.0208606
2 0.0144556 0.0151587
3 0.0125719 0.0132751
4 0.0154778 0.016181
5 0.0218814 0.0225845
6 0.0354449 0.0361481
7 0.0217912 0.0224944
8 0.00988528 0.0105884
9 0.00414457 0.00484773
10 0.00212406 0.00282721
11 0.00420484 0.004908
12 0.0106619 0.011365
13 0.0229763 0.0236795
14 0.0199721 0.0206753
15 0.00752 0.00822315
16 0.00147921 0.00218237
17 -0.000703157 0
18 0.00178805 0.0024912
19 0.00801228 0.00871543
20 0.0202178 0.020921
21 0.0232345 0.0239376
22 0.011008 0.0117112
23 0.0052342 0.00593735
24 0.00261485 0.003318
25 0.00502152 0.00572468
26 0.0105057 0.0112089
27 0.0225244 0.0232276
28 0.0363267 0.0370299
29 0.0227419 0.023445
30 0.0163944 0.0170975
31 0.0137599 0.014463
32 0.0158379 0.0165411
33 0.0214585 0.0221617
34 0.0346765 0.0353796
