iteration,loss,s95_area
0,18203.5,76.8123
1,18223.1,76.6433
2,18183.9,76.3765
3,18112.9,76.3765
4,18161.8,76.3765
5,18150.6,76.3765
6,18153.2,76.3765
7,18155.2,76.3765
8,18150.7,76.3765
9,18153,76.3765
10,18131.8,76.3943
11,18116.9,76.3943
12,18125.4,76.3943
13,18131.8,76.3943
14,18143.2,76.3943
15,18126.1,76.3943
16,18099.4,76.3943
17,18126.1,76.3943
18,18125,76.3943
19,18124.2,76.3943
20,18107.7,76.3409
21,18104,76.3409
22,18091.4,76.3409
23,18116.3,76.3409
24,18102.7,76.3409
25,18115.3,76.3409
26,18104.3,76.3409
27,18125.1,76.3409
28,18121.8,76.3409
29,18110.1,76.3409
30,18113.8,76.2831
31,18125.2,76.2831
32,18114.6,76.2831
33,18117.4,76.2831
34,18113.1,76.2831
35,18121.7,76.2831
36,18106.9,76.2831
37,18103.3,76.2831
38,18106.1,76.2831
39,18116.1,76.2831
40,18109.4,76.2742
41,18103.6,76.2742
42,18110.2,76.2742
43,18119,76.2742
44,18114.7,76.2742
45,18104.3,76.2742
46,18115.5,76.2742
47,18119.1,76.2742
48,18115.9,76.2742
49,18097.9,76.2742
50,18104,76.2564
51,18102.2,76.2564
52,18115.1,76.2564
53,18106.6,76.2564
54,18094.7,76.2564
55,18099.5,76.2564
56,18093.1,76.2564
57,18095.6,76.2564
58,18099.6,76.2564
59,18107.1,76.2564
60,18118.2,76.2876
61,18100,76.2876
62,18106.3,76.2876
63,18095.7,76.2876
64,18099.9,76.2876
65,18101.1,76.2876
66,18104.2,76.2876
67,18106.9,76.2876
68,18107.5,76.2876
69,18096.2,76.2876
70,18098.1,76.2564
71,18102.7,76.2564
72,18111.1,76.2564
73,18105,76.2564
74,18113.2,76.2564
75,18104,76.2564
76,18109.6,76.2564
77,18111.1,76.2564
78,18105.2,76.2564
79,18103.5,76.2564
80,18106.4,76.2698
81,18110.5,76.2698
82,18111,76.2698
83,18105.8,76.2698
84,18099.9,76.2698
85,18102.7,76.2698
86,18107.7,76.2698
87,18099.7,76.2698
88,18096,76.2698
89,18112.1,76.2698
90,18105,76.2876
91,18109.1,76.2876
92,18098.2,76.2876
93,18116,76.2876
94,18096.7,76.2876
95,18105.9,76.2876
96,18101,76.2876
97,18113.3,76.2876
98,18108.7,76.2876
99,18109.5,76.2876
