# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.4167 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0350379 0.0357104
1 0.0223918 0.0230643
2 0.0165109 0.0171833
3 0.0142456 0.014918
4 0.016558 0.0172304
5 0.0232336 0.023906
6 0.0355414 0.0362138
7 0.0235904 0.0242629
8 0.0118041 0.0124766
9 0.00522379 0.00589622
10 0.00285066 0.00352309
11 0.00553081 0.00620324
12 0.0122216 0.012894
13 0.0240488 0.0247212
14 0.0202796 0.020952
15 0.0083654 0.00903783
16 0.00154971 0.00222214
17 -0.000672429 0
18 0.00164027 0.0023127
19 0.0084361 0.00910853
20 0.0207961 0.0214685
21 0.0220759 0.0227483
22 0.0104294 0.0111019
23 0.00374439 0.00441682
24 0.00125307 0.0019255
25 0.00367878 0.00435121
26 0.010374 0.0110465
27 0.0223578 0.0230303
28 0.0322817 0.0329541
29 0.0193907 0.0200632
30 0.0133483 0.0140207
31 0.0108647 0.0115371
32 0.0133406 0.014013
33 0.0199249 0.0205973
34 0.0331767 0.0338491
