# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1764 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.033827 0.0347468
1 0.0212248 0.0221445
2 0.0152914 0.0162112
3 0.013452 0.0143718
4 0.0165674 0.0174871
5 0.0229436 0.0238634
6 0.0370013 0.0379211
7 0.0223197 0.0232394
8 0.0103219 0.0112416
9 0.00454824 0.00546799
10 0.00222966 0.00314941
11 0.00496305 0.0058828
12 0.0112536 0.0121733
13 0.0238045 0.0247242
14 0.0198451 0.0207648
15 0.00745692 0.00837667
16 0.00128404 0.00220379
17 -0.000919751 0
18 0.00181321 0.00273296
19 0.00819585 0.0091156
20 0.0207876 0.0217074
21 0.0228172 0.0237369
22 0.0103807 0.0113005
23 0.00402851 0.00494826
24 0.00178277 0.00270252
25 0.00419895 0.0051187
26 0.0100539 0.0109736
27 0.0225672 0.023487
28 0.03472 0.0356397
29 0.0217662 0.022686
30 0.0152544 0.0161742
31 0.0128201 0.0137399
32 0.0148356 0.0157553
33 0.0204965 0.0214163
34 0.0335223 0.0344421
