# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.2431 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0362975 0.0367851
1 0.0224763 0.022964
2 0.0161652 0.0166529
3 0.0132766 0.0137643
4 0.0151336 0.0156213
5 0.0212552 0.0217429
6 0.0340892 0.0345769
7 0.0231106 0.0235983
8 0.0110659 0.0115536
9 0.00497589 0.00546358
10 0.00240066 0.00288835
11 0.0046646 0.00515229
12 0.0105359 0.0110236
13 0.022588 0.0230757
14 0.0201077 0.0205954
15 0.00787429 0.00836198
16 0.0019301 0.0024178
17 -0.000487692 0
18 0.00204585 0.00253355
19 0.008119 0.00860669
20 0.0203796 0.0208673
21 0.0222048 0.0226925
22 0.0103225 0.0108102
23 0.00434399 0.00483168
24 0.00230079 0.00278849
25 0.00505141 0.0055391
26 0.0112448 0.0117325
27 0.0234298 0.0239175
28 0.0338805 0.0343682
29 0.0207349 0.0212226
30 0.0151873 0.0156749
31 0.0132394 0.0137271
32 0.0159745 0.0164622
33 0.0223643 0.022852
34 0.0362066 0.0366943
