iteration,loss,s95_area
0,18203.5,76.8123
1,18223.1,76.6478
2,18180.2,76.4076
3,18123.3,76.4076
4,18182.4,76.4076
5,18179,76.4076
6,18184.5,76.4076
7,18157.1,76.4076
8,18142.8,76.4076
9,18139,76.4076
10,18133.8,76.4654
11,18135.6,76.4654
12,18140.8,76.4654
13,18126.5,76.4654
14,18136.5,76.4654
15,18129.8,76.4654
16,18105.7,76.4654
17,18112.4,76.4654
18,18122.3,76.4654
19,18123,76.4654
20,18116.2,76.3009
21,18119.1,76.3009
22,18126.2,76.3009
23,18116.8,76.3009
24,18120,76.3009
25,18104.2,76.3009
26,18101.6,76.3009
27,18112,76.3009
28,18107.9,76.3009
29,18097.3,76.3009
30,18103.4,76.2653
31,18114.4,76.2653
32,18107,76.2653
33,18128.4,76.2653
34,18130.2,76.2653
35,18109.4,76.2653
36,18118.6,76.2653
37,18094.1,76.2653
38,18111,76.2653
39,18096.7,76.2653
40,18115,76.2653
41,18114.9,76.2653
42,18103.7,76.2653
43,18105.1,76.2653
44,18100.9,76.2653
45,18103.9,76.2653
46,18115.9,76.2653
47,18105.6,76.2653
48,18114.7,76.2653
49,18119.1,76.2653
50,18111.4,76.2476
51,18116.4,76.2476
52,18122.4,76.2476
53,18122,76.2476
54,18114.2,76.2476
55,18121,76.2476
56,18111.5,76.2476
57,18113.6,76.2476
58,18110.3,76.2476
59,18098.4,76.2476
60,18098.9,76.2431
61,18102,76.2431
62,18092.8,76.2431
63,18105.6,76.2431
64,18095,76.2431
65,18101.6,76.2431
66,18108.8,76.2431
67,18121.8,76.2431
68,18112.7,76.2431
69,18113.8,76.2431
70,18104.6,76.252
71,18108.9,76.252
72,18107.5,76.252
73,18100.5,76.252
74,18109.2,76.252
75,18100.1,76.252
76,18108.8,76.252
77,18126,76.252
78,18116.3,76.252
79,18119,76.252
80,18116.7,76.2653
81,18120.3,76.2653
82,18127.5,76.2653
83,18118.8,76.2653
84,18109.1,76.2653
85,18103.4,76.2653
86,18105.2,76.2653
87,18091.5,76.2653
88,18117.8,76.2653
89,18122.1,76.2653
90,18116.9,76.2564
91,18123,76.2564
92,18123.5,76.2564
93,18122.2,76.2564
94,18115.7,76.2564
95,18103.5,76.2564
96,18102.1,76.2564
97,18099.7,76.2564
98,18115.3,76.2564
99,18105.4,76.2564
