# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.4611 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0346958 0.0353812
1 0.0221685 0.0228539
2 0.0162311 0.0169165
3 0.0141213 0.0148067
4 0.0162323 0.0169177
5 0.0229557 0.0236411
6 0.03529 0.0359754
7 0.0234695 0.0241549
8 0.0116197 0.0123051
9 0.00513632 0.00582172
10 0.0027937 0.0034791
11 0.00526121 0.00594661
12 0.0120648 0.0127502
13 0.0239655 0.0246509
14 0.0204203 0.0211057
15 0.00841151 0.00909691
16 0.00147239 0.00215778
17 -0.0006854 0
18 0.0016423 0.0023277
19 0.00841885 0.00910425
20 0.0207962 0.0214816
21 0.0224132 0.0230986
22 0.010584 0.0112694
23 0.00377726 0.00446266
24 0.00138857 0.00207397
25 0.00368182 0.00436722
26 0.0104425 0.0111279
27 0.0224354 0.0231208
28 0.0324523 0.0331377
29 0.0196395 0.0203249
30 0.0134522 0.0141376
31 0.0110128 0.0116982
32 0.0133724 0.0140578
33 0.0200022 0.0206876
34 0.0332383 0.0339237
