iteration,loss,s95_area
0,12539.2,51.1548
1,12408.8,50.8791
2,12341.4,50.7591
3,12319.6,50.7591
4,12317.8,50.7591
5,12295.2,50.7591
6,12287.6,50.7591
7,12269.8,50.7591
8,12276.6,50.7591
9,12282.3,50.7591
10,12291.3,50.6079
11,12271.9,50.6079
12,12252.7,50.6079
13,12251.5,50.6079
14,12256.2,50.6079
15,12276,50.6079
16,12300.1,50.6079
17,12286.2,50.6079
18,12300.9,50.6079
19,12281,50.6079
20,12288.7,50.5856
21,12267.4,50.5856
22,12268.5,50.5856
23,12289,50.5856
24,12285.5,50.5856
25,12288.1,50.5856
26,12280.5,50.5856
27,12290.1,50.5856
28,12295.2,50.5856
29,12300.2,50.5856
30,12290.8,50.559
31,12283.4,50.559
32,12277.5,50.559
33,12274.1,50.559
34,12280.7,50.559
35,12282.8,50.559
36,12290.5,50.559
37,12290.4,50.559
38,12283,50.559
39,12285.1,50.559
40,12273.4,50.559
41,12263.8,50.559
42,12271.9,50.559
43,12270.4,50.559
44,12273.2,50.559
45,12266.1,50.559
46,12271.9,50.559
47,12259.3,50.559
48,12270.3,50.559
49,12278.6,50.559
50,12281.8,50.5367
51,12270.2,50.5367
52,12275,50.5367
53,12263.8,50.5367
54,12271.1,50.5367
55,12268.9,50.5367
56,12263.2,50.5367
57,12258.6,50.5367
58,12258,50.5367
59,12250.5,50.5367
60,12251.2,50.5145
61,12251.7,50.5145
62,12260.7,50.5145
63,12267.8,50.5145
64,12257.3,50.5145
65,12268,50.5145
66,12265.4,50.5145
67,12257.9,50.5145
68,12255.6,50.5145
69,12254.5,50.5145
70,12242.5,50.4923
71,12245.9,50.4923
72,12245.5,50.4923
73,12255.2,50.4923
74,12268.8,50.4923
75,12253.3,50.4923
76,12256.9,50.4923
77,12248.6,50.4923
78,12249.7,50.4923
79,12239.2,50.4923
80,12253.4,50.4834
81,12243.2,50.4834
82,12235.4,50.4834
83,12241.4,50.4834
84,12233.2,50.4834
85,12226.1,50.4834
86,12228.4,50.4834
87,12228.8,50.4834
88,12215,50.4834
89,12226.4,50.4834
90,12218.9,50.4611
91,12218.8,50.4611
92,12213.4,50.4611
93,12206.6,50.4611
94,12212.6,50.4611
95,12201.1,50.4611
96,12210.8,50.4611
97,12211.4,50.4611
98,12227.3,50.4611
99,12226,50.4611
