# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.3367 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0360487 0.0369822
1 0.0229168 0.0238503
2 0.0175301 0.0184637
3 0.0155656 0.0164992
4 0.017699 0.0186325
5 0.0229751 0.0239086
6 0.0361228 0.0370563
7 0.022041 0.0229745
8 0.0102087 0.0111422
9 0.00509068 0.00602422
10 0.00266533 0.00359886
11 0.00530826 0.00624179
12 0.0105378 0.0114713
13 0.0225505 0.023484
14 0.0186147 0.0195482
15 0.00633883 0.00727237
16 0.00130602 0.00223956
17 -0.000933532 0
18 0.00159191 0.00252544
19 0.00656903 0.00750256
20 0.019254 0.0201876
21 0.0209395 0.021873
22 0.0089072 0.00984073
23 0.00372198 0.00465551
24 0.00166659 0.00260012
25 0.00396473 0.00489826
26 0.00945601 0.0103895
27 0.021058 0.0219915
28 0.0331601 0.0340936
29 0.0205156 0.0214491
30 0.0152346 0.0161681
31 0.0129127 0.0138463
32 0.0155486 0.0164821
33 0.0205595 0.021493
34 0.0342916 0.0352252
