iteration,loss,s95_area
0,22408.4,94.8036
1,22389.2,94.6258
2,22365.6,94.5368
3,22326.3,94.5368
4,22350,94.5368
5,22337.9,94.5368
6,22342.7,94.5368
7,22329.9,94.5368
8,22295.6,94.5368
9,22303.4,94.5368
10,22290.3,94.4657
11,22286,94.4657
12,22290.4,94.4657
13,22292.7,94.4657
14,22289.4,94.4657
15,22316.7,94.4657
16,22302.5,94.4657
17,22333.4,94.4657
18,22323.9,94.4657
19,22299.1,94.4657
20,22331.2,94.3945
21,22318.3,94.3945
22,22320.2,94.3945
23,22322.7,94.3945
24,22328.8,94.3945
25,22332.3,94.3945
26,22318.9,94.3945
27,22332.6,94.3945
28,22324.7,94.3945
29,22317.1,94.3945
30,22312,94.3412
31,22304.1,94.3412
32,22330.9,94.3412
33,22330.3,94.3412
34,22300.5,94.3412
35,22295.1,94.3412
36,22314,94.3412
37,22315.9,94.3412
38,22322.5,94.3412
39,22305.7,94.3412
40,22310.7,94.3545
41,22312.7,94.3545
42,22316.5,94.3545
43,22303.4,94.3545
44,22330.3,94.3545
45,22314.2,94.3545
46,22314.6,94.3545
47,22320.8,94.3545
48,22317,94.3545
49,22323.2,94.3545
50,22340.3,94.3545
51,22320.8,94.3545
52,22324.7,94.3545
53,22326.1,94.3545
54,22314,94.3545
55,22325.4,94.3545
56,22322,94.3545
57,22325.1,94.3545
58,22332,94.3545
59,22326.4,94.3545
60,22321.1,94.3501
61,22301.1,94.3501
62,22308.4,94.3501
63,22301.3,94.3501
64,22298.6,94.3501
65,22322.8,94.3501
66,22333.4,94.3501
67,22328.1,94.3501
68,22313,94.3501
69,22297.1,94.3501
70,22302.9,94.3367
71,22316.9,94.3367
72,22317.3,94.3367
73,22309.9,94.3367
74,22332.3,94.3367
75,22330,94.3367
76,22309.3,94.3367
77,22294.8,94.3367
78,22300.5,94.3367
79,22305.1,94.3367
80,22321,94.3456
81,22319,94.3456
82,22310.4,94.3456
83,22298.6,94.3456
84,22310.4,94.3456
85,22300.5,94.3456
86,22313.8,94.3456
87,22315.3,94.3456
88,22317.6,94.3456
89,22301.9,94.3456
90,22307,94.3501
91,22316.7,94.3501
92,22308.2,94.3501
93,22314.2,94.3501
94,22309.5,94.3501
95,22315.4,94.3501
96,22313.4,94.3501
97,22295.7,94.3501
98,22302.6,94.3501
99,22284.6,94.3501
