# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1497 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0337044 0.0342369
1 0.0210089 0.0215415
2 0.015115 0.0156475
3 0.0131553 0.0136878
4 0.0159512 0.0164837
5 0.0223543 0.0228869
6 0.0363065 0.036839
7 0.0222321 0.0227646
8 0.010287 0.0108196
9 0.00449683 0.00502939
10 0.00228493 0.00281749
11 0.00450393 0.00503649
12 0.0107697 0.0113023
13 0.0232103 0.0237429
14 0.0198828 0.0204153
15 0.00773688 0.00826944
16 0.00146154 0.00199409
17 -0.000532555 0
18 0.00184217 0.00237473
19 0.00783447 0.00836702
20 0.0202614 0.020794
21 0.0233616 0.0238942
22 0.0106729 0.0112054
23 0.00456487 0.00509742
24 0.00216873 0.00270129
25 0.00450224 0.0050348
26 0.0102079 0.0107404
27 0.0219336 0.0224661
28 0.0357934 0.0363259
29 0.022159 0.0226915
30 0.0158971 0.0164296
31 0.0131151 0.0136476
32 0.0152079 0.0157405
33 0.0209922 0.0215248
34 0.0340565 0.0345891
