iteration,loss,s95_area
0,18284.4,76.7056
1,18254.3,76.6077
2,18213,76.4565
3,18177.4,76.4565
4,18138.3,76.4565
5,18142.4,76.4565
6,18128.8,76.4565
7,18106.2,76.4565
8,18129.2,76.4565
9,18132,76.4565
10,18139.6,76.2342
11,18140.3,76.2342
12,18147.6,76.2342
13,18139.4,76.2342
14,18137,76.2342
15,18138.8,76.2342
16,18147.6,76.2342
17,18127.6,76.2342
18,18133.7,76.2342
19,18120.3,76.2342
20,18119,76.2209
21,18105.2,76.2209
22,18139.3,76.2209
23,18120.7,76.2209
24,18119.8,76.2209
25,18115.8,76.2209
26,18084.9,76.2209
27,18111.7,76.2209
28,18122,76.2209
29,18119.7,76.2209
30,18135.4,76.2075
31,18096.6,76.2075
32,18095.1,76.2075
33,18114,76.2075
34,18118.5,76.2075
35,18108.3,76.2075
36,18125.4,76.2075
37,18122.5,76.2075
38,18108.3,76.2075
39,18113.9,76.2075
40,18118.9,76.1853
41,18106.2,76.1853
42,18120.2,76.1853
43,18112.8,76.1853
44,18116.7,76.1853
45,18099.4,76.1853
46,18094.1,76.1853
47,18108,76.1853
48,18103,76.1853
49,18121.6,76.1853
50,18120.8,76.1497
51,18118.5,76.1497
52,18114.6,76.1497
53,18110.1,76.1497
54,18131,76.1497
55,18128.7,76.1497
56,18115.3,76.1497
57,18110.8,76.1497
58,18084.5,76.1497
59,18102.4,76.1497
60,18112,76.2075
61,18127.9,76.2075
62,18109.3,76.2075
63,18109.9,76.2075
64,18101,76.2075
65,18108.1,76.2075
66,18106.3,76.2075
67,18115.2,76.2075
68,18087.5,76.2075
69,18096.1,76.2075
70,18107.4,76.1631
71,18102.8,76.1631
72,18109.9,76.1631
73,18094.5,76.1631
74,18097.2,76.1631
75,18116,76.1631
76,18103.9,76.1631
77,18112.8,76.1631
78,18114,76.1631
79,18116.1,76.1631
80,18117.1,76.1497
81,18098.8,76.1497
82,18104,76.1497
83,18102.3,76.1497
84,18100.7,76.1497
85,18101.9,76.1497
86,18108.9,76.1497
87,18101.2,76.1497
88,18101.1,76.1497
89,18114.9,76.1497
90,18123.9,76.1631
91,18118.9,76.1631
92,18119.4,76.1631
93,18123.7,76.1631
94,18104.4,76.1631
95,18094,76.1631
96,18097,76.1631
97,18112.4,76.1631
98,18111.9,76.1631
99,18113.7,76.1631
