# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.2611 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0358109 0.0367769
1 0.0225864 0.0235524
2 0.0175087 0.0184747
3 0.0154459 0.0164118
4 0.0178538 0.0188198
5 0.0232996 0.0242655
6 0.0364596 0.0374255
7 0.021875 0.022841
8 0.00999577 0.0109617
9 0.00504741 0.00601337
10 0.00283297 0.00379893
11 0.00529469 0.00626066
12 0.0105411 0.0115071
13 0.0223643 0.0233302
14 0.0184506 0.0194166
15 0.00619759 0.00716356
16 0.00112327 0.00208924
17 -0.000965967 0
18 0.00153193 0.0024979
19 0.00699376 0.00795973
20 0.0192447 0.0202107
21 0.0206129 0.0215788
22 0.00871538 0.00968134
23 0.00348854 0.00445451
24 0.00155888 0.00252484
25 0.00381884 0.00478481
26 0.00937645 0.0103424
27 0.0217089 0.0226748
28 0.0330746 0.0340406
29 0.0203379 0.0213039
30 0.0150818 0.0160478
31 0.0127795 0.0137454
32 0.0153599 0.0163259
33 0.0203112 0.0212772
34 0.0338835 0.0348495
