# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.332 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0363605 0.0368635
1 0.0225082 0.0230112
2 0.0158348 0.0163377
3 0.0133052 0.0138082
4 0.0152836 0.0157865
5 0.0209055 0.0214085
6 0.0338648 0.0343677
7 0.0230712 0.0235742
8 0.0113197 0.0118227
9 0.00491902 0.00542197
10 0.00235072 0.00285367
11 0.00476345 0.00526639
12 0.0105546 0.0110575
13 0.02249 0.0229929
14 0.0202155 0.0207184
15 0.00795686 0.00845981
16 0.00208473 0.00258768
17 -0.000502948 0
18 0.00207111 0.00257405
19 0.00808686 0.00858981
20 0.0202335 0.0207364
21 0.0223473 0.0228503
22 0.0103712 0.0108742
23 0.00448516 0.00498811
24 0.00232755 0.0028305
25 0.00504279 0.00554574
26 0.0111842 0.0116872
27 0.0233854 0.0238883
28 0.033961 0.0344639
29 0.0206495 0.0211524
30 0.0155832 0.0160861
31 0.013104 0.013607
32 0.015879 0.0163819
33 0.0222215 0.0227244
34 0.036142 0.036645
