iteration,loss,s95_area
0,12539.2,51.1548
1,12408.8,50.8658
2,12348.6,50.7413
3,12333.1,50.7413
4,12315.3,50.7413
5,12322.9,50.7413
6,12334.8,50.7413
7,12347.6,50.7413
8,12355.5,50.7413
9,12348.9,50.7413
10,12324.6,50.7413
11,12314.6,50.7413
12,12310.7,50.7413
13,12300.8,50.7413
14,12313.4,50.7413
15,12344.8,50.7413
16,12358.3,50.7413
17,12375,50.7413
18,12372.3,50.7413
19,12359.8,50.7413
20,12346.2,50.7457
21,12332.9,50.7457
22,12305,50.7457
23,12311.2,50.7457
24,12318.1,50.7457
25,12316.3,50.7457
26,12314,50.7457
27,12310.2,50.7457
28,12326.7,50.7457
29,12331.6,50.7457
30,12321.4,50.7724
31,12335.8,50.7724
32,12339.5,50.7724
33,12343.4,50.7724
34,12336.6,50.7724
35,12325.4,50.7724
36,12326.3,50.7724
37,12316,50.7724
38,12320.3,50.7724
39,12323.3,50.7724
40,12330.8,50.768
41,12341.1,50.768
42,12335,50.768
43,12334,50.768
44,12325.7,50.768
45,12335,50.768
46,12336.5,50.768
47,12339.8,50.768
48,12339.6,50.768
49,12330,50.768
50,12328.6,50.7635
51,12338.6,50.7635
52,12333.7,50.7635
53,12321.9,50.7635
54,12319.9,50.7635
55,12321,50.7635
56,12328.7,50.7635
57,12332.7,50.7635
58,12322.5,50.7635
59,12333.8,50.7635
60,12351.7,50.7502
61,12332.7,50.7502
62,12329.1,50.7502
63,12332.7,50.7502
64,12330,50.7502
65,12326.9,50.7502
66,12334.4,50.7502
67,12339.2,50.7502
68,12322.6,50.7502
69,12324,50.7502
70,12323.3,50.7324
71,12322.3,50.7324
72,12324.7,50.7324
73,12340.2,50.7324
74,12336.4,50.7324
75,12328.9,50.7324
76,12337,50.7324
77,12335.1,50.7324
78,12323.8,50.7324
79,12337.9,50.7324
80,12328.6,50.768
81,12332.4,50.768
82,12337.2,50.768
83,12340,50.768
84,12334.5,50.768
85,12331.1,50.768
86,12325.4,50.768
87,12329.2,50.768
88,12324.6,50.768
89,12321.7,50.768
90,12323.9,50.7502
91,12331.4,50.7502
92,12336.8,50.7502
93,12326.4,50.7502
94,12322.6,50.7502
95,12333.3,50.7502
96,12330.6,50.7502
97,12319.6,50.7502
98,12329.3,50.7502
99,12329.5,50.7502
