iteration,loss,s95_area
0,22408.4,94.6702
1,22363.9,94.5724
2,22361.6,94.5813
3,22347.7,94.5813
4,22369.8,94.5813
5,22383.5,94.5813
6,22370.7,94.5813
7,22359.4,94.5813
8,22340.3,94.5813
9,22328,94.5813
10,22320.6,94.5413
11,22345,94.5413
12,22313.6,94.5413
13,22311.2,94.5413
14,22323.9,94.5413
15,22336.7,94.5413
16,22346.5,94.5413
17,22359.9,94.5413
18,22368.5,94.5413
19,22350,94.5413
20,22334.3,94.5057
21,22325.3,94.5057
22,22322,94.5057
23,22313.5,94.5057
24,22322.6,94.5057
25,22315.9,94.5057
26,22335.7,94.5057
27,22347.8,94.5057
28,22350,94.5057
29,22358,94.5057
30,22350.8,94.5279
31,22338.7,94.5279
32,22301.4,94.5279
33,22309.1,94.5279
34,22352,94.5279
35,22348.1,94.5279
36,22349.4,94.5279
37,22347.6,94.5279
38,22328,94.5279
39,22319.4,94.5279
40,22319.2,94.5013
41,22324.4,94.5013
42,22314.9,94.5013
43,22330.3,94.5013
44,22337.6,94.5013
45,22344.6,94.5013
46,22338.7,94.5013
47,22319.5,94.5013
48,22333,94.5013
49,22343,94.5013
50,22344.2,94.5324
51,22335.5,94.5324
52,22337.5,94.5324
53,22335.3,94.5324
54,22340.3,94.5324
55,22345.7,94.5324
56,22347.5,94.5324
57,22345.1,94.5324
58,22345.6,94.5324
59,22361.4,94.5324
60,22366.7,94.5991
61,22345.8,94.5991
62,22331.5,94.5991
63,22318.7,94.5991
64,22321.7,94.5991
65,22324.7,94.5991
66,22324.8,94.5991
67,22336.1,94.5991
68,22350,94.5991
69,22338,94.5991
70,22345.1,94.5368
71,22356.6,94.5368
72,22336.2,94.5368
73,22343,94.5368
74,22343.4,94.5368
75,22331.4,94.5368
76,22337.7,94.5368
77,22316.9,94.5368
78,22323.3,94.5368
79,22326,94.5368
80,22339.1,94.5591
81,22354.5,94.5591
82,22338.4,94.5591
83,22337,94.5591
84,22340.8,94.5591
85,22345.3,94.5591
86,22345.5,94.5591
87,22351.5,94.5591
88,22338.7,94.5591
89,22346,94.5591
90,22342.5,94.4746
91,22339.2,94.4746
92,22332.6,94.4746
93,22339.6,94.4746
94,22364.8,94.4746
95,22354.3,94.4746
96,22344.6,94.4746
97,22339.4,94.4746
98,22344.3,94.4746
99,22342.6,94.4746
