iteration,loss,s95_area
0,18284.4,76.7056
1,18254.3,76.4788
2,18165.1,76.4788
3,18181.9,76.4788
4,18207.7,76.4788
5,18191.1,76.4788
6,18154.5,76.4788
7,18151.2,76.4788
8,18134.8,76.4788
9,18151.3,76.4788
10,18145.5,76.3009
11,18124.1,76.3009
12,18137.1,76.3009
13,18151.3,76.3009
14,18154.5,76.3009
15,18143.4,76.3009
16,18155.2,76.3009
17,18170.9,76.3009
18,18155.8,76.3009
19,18156.1,76.3009
20,18138.5,76.332
21,18143.7,76.332
22,18114.1,76.332
23,18104.8,76.332
24,18119.1,76.332
25,18125.6,76.332
26,18126.4,76.332
27,18140.4,76.332
28,18136,76.332
29,18132,76.332
30,18120.2,76.292
31,18138.3,76.292
32,18115.2,76.292
33,18124.2,76.292
34,18130.3,76.292
35,18117.3,76.292
36,18114.2,76.292
37,18122.6,76.292
38,18138.1,76.292
39,18138.1,76.292
40,18133.6,76.3143
41,18127.9,76.3143
42,18135,76.3143
43,18122.7,76.3143
44,18127.1,76.3143
45,18141.7,76.3143
46,18138.4,76.3143
47,18120.6,76.3143
48,18134.4,76.3143
49,18131.6,76.3143
50,18134.7,76.3098
51,18132.4,76.3098
52,18127.4,76.3098
53,18124,76.3098
54,18116.7,76.3098
55,18102.5,76.3098
56,18122.3,76.3098
57,18126.1,76.3098
58,18133.3,76.3098
59,18127.9,76.3098
60,18132,76.3009
61,18122.7,76.3009
62,18129.8,76.3009
63,18144.4,76.3009
64,18143.1,76.3009
65,18145,76.3009
66,18149.2,76.3009
67,18156.9,76.3009
68,18147.3,76.3009
69,18146.8,76.3009
70,18150.9,76.3009
71,18146.4,76.3009
72,18143.9,76.3009
73,18147.1,76.3009
74,18146,76.3009
75,18148.9,76.3009
76,18141.3,76.3009
77,18125.3,76.3009
78,18140.5,76.3009
79,18156,76.3009
80,18142.4,76.2964
81,18143.9,76.2964
82,18137.6,76.2964
83,18149.3,76.2964
84,18147.2,76.2964
85,18144.7,76.2964
86,18149,76.2964
87,18125.1,76.2964
88,18130.4,76.2964
89,18137,76.2964
90,18141.5,76.3142
91,18153.4,76.3142
92,18148.7,76.3142
93,18142.9,76.3142
94,18113.2,76.3142
95,18123.3,76.3142
96,18138.7,76.3142
97,18145.1,76.3142
98,18139.8,76.3142
99,18149.6,76.3142
