# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.2298 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0361444 0.0367602
1 0.0230545 0.0236703
2 0.0170408 0.0176566
3 0.0146018 0.0152176
4 0.0163866 0.0170025
5 0.0223743 0.0229902
6 0.0356718 0.0362877
7 0.0228366 0.0234524
8 0.0111512 0.011767
9 0.00522303 0.00583887
10 0.00285144 0.00346729
11 0.005246 0.00586185
12 0.0111335 0.0117493
13 0.0234609 0.0240767
14 0.0193978 0.0200137
15 0.00727757 0.00789342
16 0.00143346 0.00204931
17 -0.000615845 0
18 0.00212087 0.00273671
19 0.00837932 0.00899517
20 0.0208789 0.0214947
21 0.0212161 0.021832
22 0.00944824 0.0100641
23 0.00363332 0.00424917
24 0.00191902 0.00253487
25 0.00469373 0.00530958
26 0.0108905 0.0115063
27 0.0233912 0.024007
28 0.0325173 0.0331331
29 0.0193262 0.019942
30 0.0143617 0.0149775
31 0.0121239 0.0127397
32 0.0148202 0.015436
33 0.0215552 0.0221711
34 0.0353043 0.0359202
