iteration,loss,s95_area
0,18490.9,77.1057
1,18301.6,76.7767
2,18202.4,76.6389
3,18184,76.6389
4,18165.2,76.6389
5,18162.8,76.6389
6,18131.3,76.6389
7,18157.2,76.6389
8,18129.9,76.6389
9,18139.9,76.6389
10,18138.6,76.4299
11,18166.1,76.4299
12,18166.4,76.4299
13,18174.1,76.4299
14,18163.7,76.4299
15,18153.4,76.4299
16,18148.8,76.4299
17,18149.1,76.4299
18,18145.6,76.4299
19,18150.3,76.4299
20,18136.3,76.3498
21,18145.8,76.3498
22,18138.3,76.3498
23,18128.3,76.3498
24,18126.1,76.3498
25,18139.6,76.3498
26,18134.2,76.3498
27,18135.4,76.3498
28,18134.8,76.3498
29,18131.9,76.3498
30,18136.6,76.2831
31,18143.8,76.2831
32,18148.6,76.2831
33,18135.5,76.2831
34,18127.2,76.2831
35,18129.8,76.2831
36,18121.6,76.2831
37,18128.3,76.2831
38,18119.3,76.2831
39,18125.6,76.2831
40,18119.5,76.2431
41,18117.8,76.2431
42,18116.6,76.2431
43,18122.6,76.2431
44,18114.4,76.2431
45,18108.2,76.2431
46,18104.2,76.2431
47,18115.9,76.2431
48,18109.1,76.2431
49,18119.3,76.2431
50,18128.8,76.2298
51,18124.1,76.2298
52,18114.6,76.2298
53,18116.7,76.2298
54,18119.6,76.2298
55,18113.9,76.2298
56,18115.2,76.2298
57,18109.9,76.2298
58,18117.8,76.2298
59,18121.3,76.2298
60,18118.1,76.2609
61,18142.7,76.2609
62,18131.3,76.2609
63,18136.4,76.2609
64,18112.9,76.2609
65,18127.6,76.2609
66,18133.4,76.2609
67,18138.9,76.2609
68,18134.5,76.2609
69,18130.2,76.2609
70,18136.4,76.2742
71,18137.8,76.2742
72,18143.7,76.2742
73,18136,76.2742
74,18137,76.2742
75,18125.9,76.2742
76,18126,76.2742
77,18143.3,76.2742
78,18129.2,76.2742
79,18159.4,76.2742
80,18155.4,76.2564
81,18149.8,76.2564
82,18139.5,76.2564
83,18146.4,76.2564
84,18143.2,76.2564
85,18141.4,76.2564
86,18149.3,76.2564
87,18151.8,76.2564
88,18147.5,76.2564
89,18152.3,76.2564
90,18150.7,76.2564
91,18147.6,76.2564
92,18150.3,76.2564
93,18139.8,76.2564
94,18157.9,76.2564
95,18159.1,76.2564
96,18156.4,76.2564
97,18139,76.2564
98,18139.6,76.2564
99,18136.3,76.2564
