# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.4211 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0347493 0.0353913
1 0.0222353 0.0228773
2 0.0162681 0.01691
3 0.0140441 0.014686
4 0.0164033 0.0170453
5 0.0229462 0.0235881
6 0.0353067 0.0359486
7 0.0234959 0.0241378
8 0.0116431 0.012285
9 0.00519423 0.00583616
10 0.00274663 0.00338856
11 0.00524698 0.00588891
12 0.0120144 0.0126563
13 0.0238414 0.0244833
14 0.0204305 0.0210724
15 0.00846174 0.00910367
16 0.00156841 0.00221034
17 -0.00064193 0
18 0.00162539 0.00226732
19 0.00830892 0.00895085
20 0.0207109 0.0213528
21 0.022336 0.0229779
22 0.0105797 0.0112216
23 0.00376736 0.00440929
24 0.00136975 0.00201168
25 0.00372152 0.00436345
26 0.0104805 0.0111225
27 0.0223787 0.0230206
28 0.0326424 0.0332843
29 0.0196172 0.0202592
30 0.0134829 0.0141249
31 0.0110311 0.011673
32 0.0134309 0.0140728
33 0.0200931 0.020735
34 0.0333097 0.0339516
