iteration,loss,s95_area
0,12434.7,50.928
1,12344.3,50.8613
2,12321,50.7413
3,12303.2,50.7413
4,12294.4,50.7413
5,12335.1,50.7413
6,12352.5,50.7413
7,12357.5,50.7413
8,12346.1,50.7413
9,12307.8,50.7413
10,12262.6,50.5723
11,12263.7,50.5723
12,12265,50.5723
13,12282.4,50.5723
14,12259.6,50.5723
15,12270,50.5723
16,12284.4,50.5723
17,12297.7,50.5723
18,12290.9,50.5723
19,12294,50.5723
20,12299,50.599
21,12292.7,50.599
22,12288,50.599
23,12288.7,50.599
24,12296.4,50.599
25,12276.8,50.599
26,12261.3,50.599
27,12285.6,50.599
28,12291.4,50.599
29,12269.8,50.599
30,12275.3,50.5501
31,12265,50.5501
32,12265.7,50.5501
33,12266.2,50.5501
34,12277.7,50.5501
35,12288.3,50.5501
36,12287.9,50.5501
37,12288.4,50.5501
38,12273.3,50.5501
39,12272.8,50.5501
40,12270.9,50.5456
41,12272.8,50.5456
42,12259.3,50.5456
43,12269.6,50.5456
44,12265.8,50.5456
45,12252.3,50.5456
46,12250,50.5456
47,12253.1,50.5456
48,12267.5,50.5456
49,12255.1,50.5456
50,12251.5,50.5234
51,12244.7,50.5234
52,12252.8,50.5234
53,12257.1,50.5234
54,12253.4,50.5234
55,12240.2,50.5234
56,12240.6,50.5234
57,12246,50.5234
58,12245.8,50.5234
59,12250.9,50.5234
60,12242.4,50.47
61,12247.6,50.47
62,12234.1,50.47
63,12237.9,50.47
64,12222.6,50.47
65,12212.4,50.47
66,12224,50.47
67,12221.4,50.47
68,12213,50.47
69,12214.6,50.47
70,12210.7,50.4211
71,12206,50.4211
72,12225.3,50.4211
73,12221.6,50.4211
74,12221.8,50.4211
75,12217.3,50.4211
76,12216.6,50.4211
77,12227,50.4211
78,12218,50.4211
79,12228.4,50.4211
80,12213.3,50.43
81,12210.6,50.43
82,12214.6,50.43
83,12211,50.43
84,12210.2,50.43
85,12214.2,50.43
86,12221.2,50.43
87,12230.8,50.43
88,12246.8,50.43
89,12237.7,50.43
90,12245.7,50.4878
91,12235.4,50.4878
92,12233.3,50.4878
93,12226.7,50.4878
94,12229.7,50.4878
95,12229.6,50.4878
96,12226.8,50.4878
97,12237,50.4878
98,12227.9,50.4878
99,12215.9,50.4878
