# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.359 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0356227 0.0368158
1 0.0224936 0.0236867
2 0.0174209 0.018614
3 0.0153645 0.0165576
4 0.0173396 0.0185327
5 0.023172 0.0243651
6 0.0364426 0.0376357
7 0.0213327 0.0225258
8 0.00981423 0.0110073
9 0.00490039 0.00609346
10 0.00257143 0.0037645
11 0.00558626 0.00677933
12 0.0103156 0.0115086
13 0.0223198 0.0235129
14 0.0176959 0.018889
15 0.00605091 0.00724397
16 0.00117777 0.00237084
17 -0.00119307 0
18 0.00123897 0.00243204
19 0.00672291 0.00791598
20 0.0189406 0.0201337
21 0.0202499 0.021443
22 0.00824265 0.00943571
23 0.00319697 0.00439003
24 0.00107456 0.00226763
25 0.00356382 0.00475689
26 0.00927621 0.0104693
27 0.0213071 0.0225002
28 0.0327639 0.033957
29 0.0198904 0.0210835
30 0.0147166 0.0159097
31 0.0124265 0.0136195
32 0.0148873 0.0160804
33 0.0198623 0.0210554
34 0.0333236 0.0345167
