iteration,loss,s95_area
0,23207.9,96.5912
1,22794.1,95.5284
2,22532.3,95.0304
3,22423.3,95.0304
4,22392.9,95.0304
5,22383.7,95.0304
6,22372.6,95.0304
7,22347.9,95.0304
8,22343.8,95.0304
9,22321.4,95.0304
10,22321.9,94.5457
11,22318.8,94.5457
12,22350.6,94.5457
13,22338.7,94.5457
14,22336.3,94.5457
15,22317,94.5457
16,22329.3,94.5457
17,22325.3,94.5457
18,22293.5,94.5457
19,22299.1,94.5457
20,22303.5,94.5013
21,22319.8,94.5013
22,22320.1,94.5013
23,22330.6,94.5013
24,22326.1,94.5013
25,22328.8,94.5013
26,22322.3,94.5013
27,22326.7,94.5013
28,22318,94.5013
29,22320.5,94.5013
30,22324.8,94.4568
31,22324.6,94.4568
32,22329.3,94.4568
33,22318.9,94.4568
34,22318.2,94.4568
35,22332.4,94.4568
36,22312.6,94.4568
37,22321.9,94.4568
38,22304.9,94.4568
39,22305,94.4568
40,22314.7,94.4523
41,22352.1,94.4523
42,22311.6,94.4523
43,22304,94.4523
44,22305.2,94.4523
45,22304.7,94.4523
46,22305.7,94.4523
47,22306.6,94.4523
48,22327.2,94.4523
49,22335.7,94.4523
50,22329.8,94.4034
51,22309.9,94.4034
52,22306.7,94.4034
53,22309.8,94.4034
54,22309.3,94.4034
55,22317.9,94.4034
56,22303.6,94.4034
57,22308.7,94.4034
58,22296.8,94.4034
59,22313.6,94.4034
60,22312.2,94.3945
61,22310.2,94.3945
62,22302.9,94.3945
63,22309.3,94.3945
64,22308.7,94.3945
65,22275.3,94.3945
66,22282.3,94.3945
67,22289.1,94.3945
68,22311.1,94.3945
69,22306.5,94.3945
70,22316.3,94.359
71,22292.8,94.359
72,22306.7,94.359
73,22304.2,94.359
74,22294.9,94.359
75,22297.8,94.359
76,22305.2,94.359
77,22304.9,94.359
78,22309.7,94.359
79,22288.8,94.359
80,22289.2,94.3856
81,22296.8,94.3856
82,22307.5,94.3856
83,22300,94.3856
84,22302.7,94.3856
85,22307.7,94.3856
86,22298.8,94.3856
87,22305.8,94.3856
88,22306.2,94.3856
89,22291.6,94.3856
90,22284,94.3678
91,22323.8,94.3678
92,22315.1,94.3678
93,22303.1,94.3678
94,22305,94.3678
95,22297.5,94.3678
96,22298.2,94.3678
97,22292.9,94.3678
98,22305.3,94.3678
99,22315.8,94.3678
