# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1631 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0331881 0.0339022
1 0.0205236 0.0212377
2 0.0145747 0.0152888
3 0.0127461 0.0134602
4 0.0156911 0.0164052
5 0.0221587 0.0228729
6 0.0355625 0.0362766
7 0.0219181 0.0226322
8 0.00989747 0.0106116
9 0.00415541 0.00486952
10 0.00215918 0.00287329
11 0.00436514 0.00507925
12 0.0104942 0.0112083
13 0.0233363 0.0240504
14 0.0195531 0.0202672
15 0.00734995 0.00806406
16 0.00136649 0.0020806
17 -0.00071411 0
18 0.00156855 0.00228266
19 0.00790217 0.00861628
20 0.0203369 0.021051
21 0.0226703 0.0233844
22 0.0104659 0.01118
23 0.00452156 0.00523567
24 0.00225334 0.00296745
25 0.00478106 0.00549517
26 0.0101232 0.0108373
27 0.022515 0.0232291
28 0.0357487 0.0364628
29 0.0220916 0.0228058
30 0.0159518 0.0166659
31 0.0132213 0.0139354
32 0.0154693 0.0161834
33 0.0210269 0.021741
34 0.0343544 0.0350685
