iteration,loss,s95_area
0,18555.3,77.2347
1,18343,76.7812
2,18239.1,76.5499
3,18223.2,76.5499
4,18212.9,76.5499
5,18176.5,76.5499
6,18150.4,76.5499
7,18139.9,76.5499
8,18153.3,76.5499
9,18133.3,76.5499
10,18137.3,76.421
11,18145.9,76.421
12,18152.5,76.421
13,18154.3,76.421
14,18155.7,76.421
15,18135.4,76.421
16,18122.6,76.421
17,18117.2,76.421
18,18136.1,76.421
19,18119.8,76.421
20,18118.5,76.2031
21,18099.7,76.2031
22,18102.4,76.2031
23,18109.1,76.2031
24,18111.2,76.2031
25,18113,76.2031
26,18112.5,76.2031
27,18112.4,76.2031
28,18118.8,76.2031
29,18129.1,76.2031
30,18124.6,76.1986
31,18112.7,76.1986
32,18120.8,76.1986
33,18113.1,76.1986
34,18104.5,76.1986
35,18106.8,76.1986
36,18095.8,76.1986
37,18107.8,76.1986
38,18126,76.1986
39,18125,76.1986
40,18138.3,76.2075
41,18132.3,76.2075
42,18134.3,76.2075
43,18127.9,76.2075
44,18136.6,76.2075
45,18124.5,76.2075
46,18107.5,76.2075
47,18118.2,76.2075
48,18125.3,76.2075
49,18103.2,76.2075
50,18112.8,76.1986
51,18120.4,76.1986
52,18130.7,76.1986
53,18123.2,76.1986
54,18120.3,76.1986
55,18109.5,76.1986
56,18103.8,76.1986
57,18115,76.1986
58,18121.6,76.1986
59,18126.1,76.1986
60,18114.7,76.1631
61,18108.4,76.1631
62,18114.5,76.1631
63,18132.2,76.1631
64,18122.5,76.1631
65,18101.8,76.1631
66,18092.6,76.1631
67,18106.6,76.1631
68,18110.7,76.1631
69,18116,76.1631
70,18124.1,76.1853
71,18118.3,76.1853
72,18117,76.1853
73,18118.6,76.1853
74,18125.1,76.1853
75,18128.6,76.1853
76,18138.4,76.1853
77,18125.2,76.1853
78,18126.4,76.1853
79,18129.2,76.1853
80,18123.9,76.1942
81,18129.1,76.1942
82,18141.1,76.1942
83,18132.4,76.1942
84,18121.6,76.1942
85,18114.7,76.1942
86,18112.6,76.1942
87,18118.2,76.1942
88,18137,76.1942
89,18124,76.1942
90,18106.4,76.1808
91,18103.2,76.1808
92,18118.2,76.1808
93,18124.5,76.1808
94,18115.7,76.1808
95,18122.4,76.1808
96,18114.8,76.1808
97,18113,76.1808
98,18125.3,76.1808
99,18119,76.1808
