# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 52.2976 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0158516 0.0326364
1 0.00323576 0.0200205
2 -0.00260586 0.0141789
3 -0.0047947 0.0119901
4 -0.00242396 0.0143608
5 0.00292059 0.0197054
6 0.0156785 0.0324632
7 0.00545015 0.0222349
8 -0.00635797 0.0104268
9 -0.0122399 0.00454487
10 -0.0146703 0.00211446
11 -0.0122221 0.00456263
12 -0.00670161 0.0100832
13 0.00505962 0.0218444
14 0.00332617 0.0201109
15 -0.00901214 0.00777263
16 -0.0145845 0.00220028
17 -0.0167848 0
18 -0.0146095 0.00217531
19 -0.00873521 0.00804956
20 0.0032431 0.0200279
21 0.00560901 0.0223938
22 -0.00626746 0.0105173
23 -0.0120454 0.00473936
24 -0.0145537 0.00223107
25 -0.0120775 0.00470728
26 -0.00640611 0.0103787
27 0.00530772 0.0220925
28 0.0161155 0.0329003
29 0.00350802 0.0202928
30 -0.00224083 0.0145439
31 -0.00438037 0.0124044
32 -0.00202705 0.0147577
33 0.00367566 0.0204604
34 0.016074 0.0328588
