iteration,loss,s95_area
0,52272.4,227.426
1,50349.8,218.778
2,48496,210.671
3,46772.9,210.671
4,45177.5,210.671
5,43680.1,210.671
6,42314.1,210.671
7,41177.4,210.671
8,40154.6,210.671
9,39186.8,210.671
10,38332.5,165.573
11,37558.8,165.573
12,36840.5,165.573
13,36183.3,165.573
14,35516.9,165.573
15,34943,165.573
16,34328.5,165.573
17,33776,165.573
18,33218.8,165.573
19,32680.7,165.573
20,32204.3,138.639
21,31700.4,138.639
22,31275.4,138.639
23,30833.6,138.639
24,30425,138.639
25,30039.8,138.639
26,29662,138.639
27,29250.6,138.639
28,28889.3,138.639
29,28499.4,138.639
30,28161.8,120.559
31,27808.4,120.559
32,27433.2,120.559
33,27083.9,120.559
34,26769.2,120.559
35,26424.7,120.559
36,26142.7,120.559
37,25845.7,120.559
38,25570,120.559
39,25287.7,120.559
40,25034.3,106.805
41,24757,106.805
42,24487.9,106.805
43,24183.8,106.805
44,23922.8,106.805
45,23660.2,106.805
46,23370.4,106.805
47,23116.2,106.805
48,22875.9,106.805
49,22595.4,106.805
50,22320.7,94.7903
51,22075.8,94.7903
52,21809.9,94.7903
53,21604.4,94.7903
54,21380.1,94.7903
55,21160.5,94.7903
56,20966.8,94.7903
57,20795,94.7903
58,20601.8,94.7903
59,20414.8,94.7903
60,20228.4,85.39
61,20019.8,85.39
62,19854.6,85.39
63,19716.3,85.39
64,19551.6,85.39
65,19415.8,85.39
66,19282.8,85.39
67,19155.7,85.39
68,19007.9,85.39
69,18898.4,85.39
70,18761.5,79.0712
71,18647.1,79.0712
72,18539.2,79.0712
73,18424.6,79.0712
74,18322.5,79.0712
75,18199.3,79.0712
76,18092.9,79.0712
77,17978.6,79.0712
78,17889.5,79.0712
79,17773.5,79.0712
80,17673.1,74.251
81,17583.2,74.251
82,17473.3,74.251
83,17388.2,74.251
84,17301.1,74.251
85,17192,74.251
86,17125.3,74.251
87,17031.4,74.251
88,16959.9,74.251
89,16883.5,74.251
90,16812.9,70.4491
91,16746.1,70.4491
92,16672.4,70.4491
93,16571.8,70.4491
94,16483.1,70.4491
95,16408.1,70.4491
96,16339.8,70.4491
97,16258,70.4491
98,16172.9,70.4491
99,16098.2,70.4491
100,16018.5,66.8205
101,15931.1,66.8205
102,15843.2,66.8205
103,15781.1,66.8205
104,15699.4,66.8205
105,15621.4,66.8205
106,15545.9,66.8205
107,15473.5,66.8205
108,15414.4,66.8205
109,15342.8,66.8205
110,15284.6,63.6145
111,15225.6,63.6145
112,15150.6,63.6145
113,15094.4,63.6145
114,15033.9,63.6145
115,14967,63.6145
116,14907.1,63.6145
117,14832,63.6145
118,14782.1,63.6145
119,14729.6,63.6145
120,14665,61.0665
121,14617.3,61.0665
122,14560.5,61.0665
123,14514.1,61.0665
124,14451.3,61.0665
125,14398.3,61.0665
126,14344.8,61.0665
127,14301.9,61.0665
128,14235.9,61.0665
129,14202,61.0665
130,14152,58.9721
131,14129.1,58.9721
132,14075,58.9721
133,14035.5,58.9721
134,13999.5,58.9721
135,13958.2,58.9721
136,13907.2,58.9721
137,13870.6,58.9721
138,13836.8,58.9721
139,13810.3,58.9721
140,13762.5,57.2824
141,13732.6,57.2824
142,13702.5,57.2824
143,13681.4,57.2824
144,13655.4,57.2824
145,13621.6,57.2824
146,13606.5,57.2824
147,13589.1,57.2824
148,13557.3,57.2824
149,13549.6,57.2824
150,13516.1,56.0017
151,13488.6,56.0017
152,13471.2,56.0017
153,13459,56.0017
154,13438.8,56.0017
155,13431.6,56.0017
156,13407.9,56.0017
157,13386.9,56.0017
158,13349.3,56.0017
159,13345.8,56.0017
160,13326.4,55.0635
161,13314.6,55.0635
162,13299.7,55.0635
163,13274.2,55.0635
164,13256.5,55.0635
165,13240.2,55.0635
166,13225.9,55.0635
167,13207.3,55.0635
168,13188.4,55.0635
169,13180.4,55.0635
170,13168.2,54.3609
