x,y,z,ux,uy,uz,usum
     -4.205906,    0.006540,    3.746900,   0.000000391,   0.020384973,   0.000002020,   0.020384973
     -0.198621,   -0.004452,   -2.551083,  -0.000000397,   0.000530245,   0.000008039,   0.000530306
      0.002047,    0.000340,    0.195044,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      3.005812,    0.002735,    1.567084,  -0.000000190,   0.004615997,   0.000008156,   0.004616005
     -1.605526,    0.005488,    3.144530,  -0.000000119,   0.005844047,   0.000007980,   0.005844052
      0.402565,   -0.007561,   -4.332124,   0.000000092,   0.010345391,   0.000001736,   0.010345391
     -6.420000,    0.008247,    4.724993,  -0.000000901,   0.012827558,   0.000029724,   0.012827592
     -6.219375,    0.008247,    4.724993,  -0.000000879,   0.017871500,   0.000021822,   0.017871513
     -4.406515,    0.006537,    3.745454,   0.000000391,   0.021672257,   0.000002116,   0.021672257
      0.001706,   -0.004455,   -2.552403,  -0.000000006,   0.000818190,   0.000007210,   0.000818222
     -0.199787,    0.000341,    0.195439,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      2.805738,    0.002732,    1.565070,  -0.000000048,   0.002621160,   0.000010610,   0.002621181
     -1.805866,    0.005490,    3.145516,   0.000000157,   0.006375567,   0.000007781,   0.006375572
      0.602111,   -0.007558,   -4.330194,   0.000000352,   0.009330893,   0.000002989,   0.009330894
     -6.218877,    0.007904,    4.528756,  -0.000000090,   0.019118402,   0.000019601,   0.019118412
     -6.420000,    0.007903,    4.528118,  -0.000000126,   0.013951385,   0.000027748,   0.013951413
     -4.606731,    0.006537,    3.745460,   0.000000265,   0.024178901,   0.000000586,   0.024178901
      0.202333,   -0.004451,   -2.550011,   0.000000381,   0.000524256,   0.000008071,   0.000524319
     -0.399728,    0.000339,    0.194216,   0.000000221,  -0.000833842,   0.000003845,   0.000833850
      2.605224,    0.002729,    1.563555,   0.000000125,   0.001595896,   0.000011112,   0.001595934
     -2.005610,    0.005488,    3.144193,   0.000000405,   0.006396677,   0.000008355,   0.006396682
      0.801925,   -0.007557,   -4.329937,   0.000000631,   0.008929891,   0.000003663,   0.008929892
     -6.218179,    0.007562,    4.332526,   0.000000389,   0.020211932,   0.000017480,   0.020211940
     -4.806650,    0.006539,    3.746672,   0.000000033,   0.027550387,  -0.000001828,   0.027550387
      0.401653,   -0.004445,   -2.546730,   0.000000537,  -0.000085131,   0.000009966,   0.000085714
