x,y,z,ux,uy,uz,usum
     -4.205906,    0.006540,    3.746900,  -0.000004201,   0.022145106,  -0.000005910,   0.022145107
     -0.198621,   -0.004452,   -2.551083,  -0.000000769,   0.002178846,  -0.000007050,   0.002178857
      0.002047,    0.000340,    0.195044,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      3.005812,    0.002735,    1.567084,   0.000010071,   0.006116102,   0.000011260,   0.006116121
     -1.605526,    0.005488,    3.144530,  -0.000006320,   0.008834506,   0.000010147,   0.008834514
      0.402565,   -0.007561,   -4.332124,   0.000002784,   0.010662741,   0.000006725,   0.010662743
     -6.420000,    0.008247,    4.724993,   0.000133429,   0.018774970,   0.000032195,   0.018775472
     -6.219375,    0.008247,    4.724993,   0.000095419,   0.022661763,   0.000025349,   0.022661978
     -4.406515,    0.006537,    3.745454,  -0.000002949,   0.023900360,  -0.000008862,   0.023900362
      0.001706,   -0.004455,   -2.552403,   0.000000042,   0.002294494,  -0.000006668,   0.002294504
     -0.199787,    0.000341,    0.195439,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      2.805738,    0.002732,    1.565070,   0.000013168,   0.004630451,   0.000015754,   0.004630496
     -1.805866,    0.005490,    3.145516,  -0.000005930,   0.009239760,   0.000010416,   0.009239768
      0.602111,   -0.007558,   -4.330194,   0.000003334,   0.010044075,   0.000011178,   0.010044082
     -6.218877,    0.007904,    4.528756,   0.000086030,   0.023188952,   0.000025189,   0.023189125
     -6.420000,    0.007903,    4.528118,   0.000124545,   0.019261484,   0.000032308,   0.019261913
     -4.606731,    0.006537,    3.745460,   0.000001050,   0.026107124,  -0.000011644,   0.026107127
      0.202333,   -0.004451,   -2.550011,   0.000000857,   0.002180102,  -0.000007087,   0.002180114
     -0.399728,    0.000339,    0.194216,  -0.000001962,  -0.000510673,   0.000004864,   0.000510700
      2.605224,    0.002729,    1.563555,   0.000013164,   0.003689063,   0.000016987,   0.003689126
     -2.005610,    0.005488,    3.144193,  -0.000006148,   0.009448374,   0.000011242,   0.009448383
      0.801925,   -0.007557,   -4.329937,   0.000004663,   0.009888609,   0.000013237,   0.009888619
     -6.218179,    0.007562,    4.332526,   0.000078774,   0.023647727,   0.000025559,   0.023647872
     -4.806650,    0.006539,    3.746672,   0.000006015,   0.028582734,  -0.000013186,   0.028582738
