x,y,z,ux,uy,uz,usum
     -4.205906,   -3.191340,    1.963326,  -0.000004161,   0.011895140,   0.019399042,   0.022755598
     -0.198621,    2.172829,   -1.336733,   0.000000000,   0.001108763,   0.001809337,   0.002122040
      0.002047,   -0.166125,    0.102201,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      3.005812,   -1.334730,    0.821131,   0.000002696,   0.004105515,   0.006709577,   0.007865983
     -1.605526,   -2.678285,    1.647692,  -0.000003612,   0.005473342,   0.008929280,   0.010473276
      0.402565,    3.689792,   -2.269975,   0.000000694,   0.006205915,   0.010130289,   0.011880073
     -6.420000,   -4.024410,    2.475833,   0.000038543,   0.013321744,   0.021758284,   0.025512610
     -6.219375,   -4.024410,    2.475833,   0.000026212,   0.014483427,   0.023648694,   0.027731410
     -4.406515,   -3.190109,    1.962568,  -0.000002615,   0.012884969,   0.021008151,   0.024644773
      0.001706,    2.173954,   -1.337425,  -0.000000021,   0.001112333,   0.001804544,   0.002119826
     -0.199787,   -0.166461,    0.102408,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      2.805738,   -1.333014,    0.820076,   0.000005218,   0.003409949,   0.005580481,   0.006539843
     -1.805866,   -2.679125,    1.648209,  -0.000001450,   0.005614411,   0.009160663,   0.010744271
      0.602111,    3.688148,   -2.268964,   0.000001342,   0.006119032,   0.009991910,   0.011716690
     -6.218877,   -3.857269,    2.373008,   0.000024314,   0.014630169,   0.023887520,   0.028011713
     -6.420000,   -3.856726,    2.372674,   0.000036777,   0.013457495,   0.021979379,   0.025772051
     -4.606731,   -3.190114,    1.962571,   0.000000560,   0.014028904,   0.022869688,   0.026829700
      0.202333,    2.171917,   -1.336172,   0.000000000,   0.001108763,   0.001809337,   0.002122040
     -0.399728,   -0.165419,    0.101767,  -0.000000977,  -0.000079743,  -0.000125336,   0.000148557
      2.605224,   -1.331724,    0.819282,   0.000006157,   0.002882645,   0.004722311,   0.005532622
     -2.005610,   -2.677998,    1.647515,   0.000000097,   0.005608526,   0.009155560,   0.010736845
      0.801925,    3.687929,   -2.268829,   0.000001958,   0.006162240,   0.010064478,   0.011801140
     -6.218179,   -3.690135,    2.270186,   0.000022537,   0.014761670,   0.024101314,   0.028262709
     -4.806650,   -3.191146,    1.963206,   0.000005159,   0.015303233,   0.024945551,   0.029265500
      0.401653,    2.169121,   -1.334452,   0.000000685,   0.001250428,   0.002026538,   0.002381266
     -0.600949,   -0.165000,    0.101509,  -0.000001567,  -0.000202623,  -0.000322010,   0.000380458
      2.404895,   -1.332258,    0.819611,   0.000005478,   0.002568533,   0.004207555,   0.004929595
     -2.206821,   -2.676275,    1.646456,  -0.000000054,   0.005659108,   0.009240776,   0.010835933
      1.002834,    3.687842,   -2.268776,   0.000002047,   0.006398086,   0.010449428,   0.012252594
     -6.420000,   -3.689042,    2.269514,   0.000035381,   0.013569647,   0.022162362,   0.025986667
     -5.006132,   -3.193776,    1.964824,   0.000008684,   0.016566420,   0.027010728,   0.031686366
      0.602264,    2.166804,   -1.333027,   0.000001494,   0.001480513,   0.002400603,   0.002820428
     -0.800638,   -0.165490,    0.101810,  -0.000002243,  -0.000188906,  -0.000297850,   0.000352711
      2.204897,   -1.331929,    0.819408,   0.000003559,   0.002472315,   0.004044196,   0.004740029
     -2.406975,   -2.674630,    1.645444,  -0.000001960,   0.005850601,   0.009554564,   0.011203536
      1.203030,    3.688673,   -2.269287,   0.000001167,   0.006795170,   0.011095358,   0.013010815
     -6.217314,   -3.522857,    2.167276,   0.000021540,   0.014835981,   0.024221615,   0.028404109
     -6.420000,   -3.521359,    2.166354,   0.000034792,   0.013623794,   0.022251498,   0.026090959
     -5.205310,   -3.197815,    1.967309,   0.000000000,   0.017174162,   0.028025685,   0.032869300
      0.803200,    2.166607,   -1.332905,   0.000002269,   0.001693473,   0.002747609,   0.003227571
     -1.000822,   -0.165307,    0.101698,  -0.000002389,   0.000032149,   0.000062432,   0.000070264
      1.403025,    3.690281,   -2.270276,  -0.000000100,   0.007245492,   0.011826584,   0.013869580
     -2.606259,   -2.673003,    1.644442,  -0.000004258,   0.006223564,   0.010162861,   0.011917068
      2.003439,   -1.333676,    0.820483,   0.000000000,   0.002453486,   0.004003725,   0.004695680
     -6.217100,   -3.355379,    2.064243,   0.000022096,   0.014803589,   0.024168176,   0.028341621
      1.603204,    3.693267,   -2.272113,   0.000000000,   0.007509454,   0.012254315,   0.014372200
     -2.808031,   -2.675179,    1.645781,  -0.000005270,   0.006835628,   0.011157644,   0.013085063
      1.002606,    2.166715,   -1.332972,   0.000002687,   0.001932285,   0.003137987,   0.003685200
      1.801634,   -1.334733,    0.821133,   0.000000000,   0.002453486,   0.004003725,   0.004695680
     -1.200653,   -0.165416,    0.101765,  -0.000001420,   0.000437043,   0.000720716,   0.000842876
     -6.420000,   -3.353675,    2.063195,   0.000035473,   0.013576681,   0.022177192,   0.026002988
      5.414431,    0.684101,   -0.420862,  -0.000008216,   0.010355764,   0.016899304,   0.019819899
      5.413066,    0.515046,   -0.316858,  -0.000005287,   0.010441478,   0.017038353,   0.019983242
      1.803633,    3.695974,   -2.273778,   0.000000000,   0.007509454,   0.012254315,   0.014372200
     -3.008845,   -2.678245,    1.647667,  -0.000004907,   0.007565040,   0.012342404,   0.014476352
      1.202194,    2.168204,   -1.333888,   0.000002648,   0.002173238,   0.003532699,   0.004147641
      1.603690,   -1.331434,    0.819104,   0.000000000,   0.002453486,   0.004003725,   0.004695680
     -1.400551,   -0.165886,    0.102054,   0.000000122,   0.000897461,   0.001468085,   0.001720671
     -6.217150,   -3.187738,    1.961109,   0.000024493,   0.014612631,   0.023857987,   0.027977368
     -6.420000,   -3.185991,    1.960035,   0.000037250,   0.013401976,   0.021897505,   0.025673237
      2.004384,    3.692937,   -2.271910,   0.000000000,   0.007509454,   0.012254315,   0.014372200
      5.408966,    0.345351,   -0.212461,   0.000000000,   0.010465751,   0.017078553,   0.020030200
     -3.208451,   -2.680897,    1.649299,  -0.000003960,   0.008237694,   0.013436324,   0.015760533
      1.402354,    2.170827,   -1.335502,   0.000002283,   0.002317395,   0.003769551,   0.004424911
      1.405610,   -1.328396,    0.817234,  -0.000000740,   0.002107272,   0.003441639,   0.004035527
     -1.600206,   -0.165867,    0.102042,   0.000000000,   0.001146634,   0.001871136,   0.002194520
     -6.217847,   -3.019981,    1.857905,   0.000027629,   0.014257016,   0.023281824,   0.027300304
      2.206015,    3.689829,   -2.269998,   0.000001910,   0.007589252,   0.012388488,   0.014528296
      5.404399,    0.174208,   -0.107174,   0.000000000,   0.010465751,   0.017078553,   0.020030200
     -3.408025,   -2.684534,    1.651537,  -0.000003438,   0.008721160,   0.014225839,   0.016686316
      1.603887,    2.172773,   -1.336699,   0.000000000,   0.002382980,   0.003888670,   0.004560740
      1.206052,   -1.326144,    0.815849,   0.000001168,   0.001525947,   0.002500759,   0.002929558
     -6.420000,   -3.018307,    1.856875,   0.000039487,   0.013075749,   0.021374443,   0.025056807
      1.799792,    0.168825,   -0.103862,   0.000000000,   0.001145400,   0.001869124,   0.002192160
      2.405752,    3.688166,   -2.268975,   0.000003735,   0.007753965,   0.012660946,   0.014846668
      5.392800,    0.000000,    0.000000,   0.000000000,   0.010465751,   0.017078553,   0.020030200
     -3.607547,   -2.686063,    1.652477,  -0.000003222,   0.009034806,   0.014740285,   0.017288833
      1.804160,    2.173834,   -1.337351,   0.000001249,   0.002389148,   0.003888418,   0.004563751
      1.006585,   -1.325535,    0.815474,   0.000002392,   0.001072237,   0.001765545,   0.002065635
     -6.218412,   -2.852153,    1.754656,   0.000030500,   0.013725479,   0.022422488,   0.026289877
      1.797600,    0.000000,    0.000000,   0.000000000,   0.001145400,   0.001869124,   0.002192160
     -6.420000,   -2.850624,    1.753715,   0.000040793,   0.012617864,   0.020639474,   0.024190908
      2.605490,    3.687939,   -2.268835,   0.000004620,   0.008080805,   0.013196266,   0.015473877
      5.407373,   -0.162368,    0.099889,   0.000000000,   0.010465751,   0.017078553,   0.020030200
     -3.807849,   -2.687794,    1.653542,  -0.000004066,   0.009297121,   0.015171854,   0.017793865
      2.004792,    2.171909,   -1.336167,   0.000000000,   0.002382980,   0.003888670,   0.004560740
      0.807387,   -1.326009,    0.815766,   0.000002529,   0.000829979,   0.001371387,   0.001602989
     -6.218860,   -2.684288,    1.651385,   0.000031494,   0.013071121,   0.021364968,   0.025046298
      2.806378,    3.687846,   -2.268778,   0.000004058,   0.008587204,   0.014022646,   0.016443074
      5.412571,   -0.328665,    0.202196,   0.000000000,   0.010465751,   0.017078553,   0.020030200
     -4.008278,   -2.686875,    1.652976,  -0.000005577,   0.009695970,   0.015824834,   0.018559020
      2.204802,    2.171516,   -1.335926,   0.000004383,   0.002702016,   0.004395002,   0.005159162
      0.607353,   -1.327506,    0.816687,   0.000002077,   0.000827949,   0.001364774,   0.001596281
